	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
GguR	0.13	0.12	0.04	0.05	0.03	0.0	0.22	0.16	0.03	0.02	0.01	0.0	0.01	0.14	0.0	0.0
GlcC	0.0	0.0	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.02	0.01	0.07	0.01	0.01	0.0	0.0
GntR	0.42	0.35	0.25	0.11	0.16	0.01	0.08	0.07	0.0	0.0	0.05	0.06	0.05	0.06	0.02	0.1
GulR	0.48	0.45	0.29	0.18	0.18	0.0	0.06	0.02	0.0	0.04	0.03	0.0	0.12	0.03	0.04	0.06
HcpR	0.0	0.01	0.02	0.0	0.02	0.0	0.01	0.03	0.03	0.02	0.05	0.02	0.07	0.02	0.02	0.01
HexR	0.01	0.02	0.01	0.01	0.0	0.0	0.02	0.01	0.01	0.0	0.0	0.02	0.0	0.01	0.0	0.01
HisR	0.12	0.15	0.1	0.04	0.02	0.0	0.05	0.05	0.02	0.03	0.0	0.01	0.0	0.02	0.0	0.0
HrcA	0.37	0.33	0.24	0.11	0.11	0.0	0.04	0.04	0.0	0.0	0.01	0.0	0.04	0.04	0.0	0.01
HutC	0.01	0.03	0.05	0.03	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.02
HypR	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.02	0.04	0.03	0.01	0.07	0.01	0.0	0.0
Irr	0.35	0.32	0.25	0.11	0.13	0.0	0.02	0.02	0.0	0.03	0.06	0.01	0.04	0.04	0.01	0.0
IscR	0.22	0.21	0.18	0.07	0.09	0.01	0.02	0.02	0.0	0.02	0.03	0.03	0.12	0.02	0.06	0.11
KdgR	0.21	0.14	0.14	0.05	0.06	0.02	0.0	0.0	0.0	0.04	0.02	0.09	0.01	0.01	0.01	0.07
LexA	0.06	0.12	0.07	0.05	0.09	0.01	0.04	0.01	0.07	0.03	0.02	0.06	0.14	0.0	0.04	0.09
LiuQ	0.0	0.0	0.0	0.02	0.0	0.02	0.01	0.0	0.03	0.0	0.02	0.04	0.0	0.0	0.05	0.09
LiuR	0.46	0.45	0.33	0.16	0.18	0.01	0.04	0.05	0.0	0.01	0.02	0.0	0.08	0.04	0.01	0.08
LldR	0.17	0.12	0.13	0.08	0.1	0.03	0.0	0.01	0.01	0.0	0.01	0.02	0.09	0.0	0.0	0.04
LtbR	0.08	0.11	0.02	0.09	0.02	0.0	0.02	0.05	0.0	0.03	0.0	0.06	0.01	0.05	0.0	0.01
MerR	0.08	0.06	0.06	0.03	0.02	0.0	0.01	0.0	0.01	0.03	0.0	0.02	0.01	0.02	0.0	0.02
MetJ	0.01	0.03	0.0	0.03	0.0	0.02	0.01	0.01	0.0	0.0	0.01	0.04	0.03	0.0	0.02	0.08
MetR	0.44	0.39	0.28	0.16	0.19	0.01	0.04	0.05	0.0	0.03	0.04	0.02	0.12	0.04	0.03	0.13
MntR	0.14	0.09	0.11	0.04	0.06	0.02	0.0	0.0	0.0	0.04	0.02	0.06	0.07	0.0	0.02	0.07
ModE	0.04	0.05	0.06	0.01	0.05	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.07	0.01	0.01	0.01
NadQ	0.13	0.12	0.13	0.05	0.09	0.01	0.0	0.0	0.01	0.06	0.03	0.0	0.1	0.0	0.0	0.03
NagC	0.17	0.12	0.11	0.04	0.06	0.01	0.0	0.0	0.0	0.05	0.03	0.06	0.03	0.0	0.01	0.05
NagQ	0.08	0.05	0.03	0.01	0.01	0.0	0.06	0.03	0.01	0.0	0.0	0.0	0.0	0.03	0.01	0.01
NagR	0.37	0.33	0.17	0.06	0.1	0.01	0.02	0.03	0.0	0.01	0.0	0.0	0.03	0.01	0.0	0.01
NarP	0.04	0.05	0.01	0.0	0.0	0.04	0.02	0.0	0.0	0.01	0.01	0.02	0.08	0.03	0.01	0.02
NiaR	0.04	0.04	0.04	0.0	0.0	0.0	0.03	0.02	0.02	0.0	0.0	0.05	0.0	0.02	0.0	0.01
NifA	0.11	0.12	0.07	0.04	0.05	0.0	0.01	0.01	0.0	0.06	0.01	0.0	0.06	0.02	0.0	0.01
NikR	0.03	0.01	0.0	0.01	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.04	0.0	0.03	0.0
NmlR	0.11	0.09	0.05	0.02	0.02	0.0	0.04	0.02	0.0	0.0	0.0	0.0	0.01	0.05	0.0	0.03
NnrR	0.27	0.26	0.19	0.05	0.12	0.0	0.01	0.0	0.0	0.02	0.02	0.02	0.18	0.01	0.0	0.05
NorR	0.0	0.0	0.0	0.0	0.02	0.01	0.0	0.01	0.02	0.01	0.02	0.02	0.19	0.0	0.12	0.1
NrdR	0.07	0.1	0.12	0.03	0.13	0.0	0.02	0.0	0.0	0.03	0.02	0.0	0.13	0.01	0.0	0.01
NrtR	0.08	0.05	0.07	0.02	0.04	0.01	0.0	0.0	0.0	0.04	0.02	0.05	0.03	0.0	0.01	0.05
NsrR	0.17	0.15	0.15	0.06	0.09	0.0	0.0	0.0	0.0	0.04	0.02	0.02	0.05	0.0	0.01	0.05
NtrC	0.37	0.36	0.23	0.09	0.13	0.0	0.03	0.02	0.0	0.01	0.0	0.01	0.05	0.02	0.02	0.08
PaaR	0.14	0.11	0.18	0.02	0.06	0.0	0.0	0.0	0.01	0.01	0.0	0.02	0.01	0.02	0.0	0.0
PdhR	0.03	0.04	0.03	0.02	0.01	0.0	0.07	0.02	0.01	0.01	0.0	0.0	0.02	0.06	0.01	0.0
PdxR	0.03	0.02	0.01	0.05	0.01	0.0	0.01	0.0	0.02	0.0	0.01	0.04	0.0	0.0	0.04	0.03
PhnF	0.04	0.07	0.06	0.04	0.05	0.0	0.03	0.01	0.01	0.0	0.0	0.0	0.03	0.01	0.04	0.04
PhnR	0.02	0.01	0.04	0.03	0.02	0.0	0.0	0.0	0.03	0.03	0.0	0.03	0.0	0.01	0.01	0.02
Phr	0.06	0.03	0.05	0.01	0.03	0.01	0.0	0.0	0.0	0.05	0.01	0.04	0.05	0.0	0.01	0.04
PhrR	0.02	0.03	0.02	0.01	0.02	0.0	0.02	0.0	0.0	0.04	0.0	0.01	0.02	0.01	0.0	0.0
PhsR	0.08	0.08	0.05	0.01	0.01	0.01	0.04	0.01	0.0	0.0	0.03	0.01	0.01	0.02	0.01	0.0
PrpR	0.0	0.0	0.02	0.0	0.01	0.01	0.09	0.05	0.05	0.06	0.0	0.0	0.01	0.04	0.0	0.0
PsrA	0.15	0.18	0.1	0.09	0.03	0.0	0.0	0.01	0.0	0.06	0.0	0.06	0.0	0.01	0.02	0.01
PurR	0.54	0.52	0.36	0.21	0.2	0.0	0.03	0.05	0.01	0.0	0.02	0.0	0.09	0.08	0.01	0.07
QorR	0.3	0.3	0.2	0.08	0.09	0.0	0.01	0.0	0.01	0.0	0.02	0.0	0.04	0.03	0.0	0.02
RbkR	0.15	0.1	0.1	0.04	0.06	0.03	0.02	0.01	0.0	0.02	0.01	0.06	0.03	0.01	0.01	0.07
RbsR	0.17	0.18	0.15	0.06	0.12	0.0	0.01	0.02	0.0	0.01	0.04	0.01	0.15	0.01	0.0	0.01
Rex	0.0	0.0	0.02	0.0	0.0	0.0	0.06	0.01	0.0	0.06	0.0	0.06	0.01	0.02	0.02	0.08
RutR	0.05	0.07	0.03	0.04	0.02	0.01	0.01	0.01	0.0	0.03	0.0	0.01	0.02	0.02	0.01	0.01
SahR_SamR	0.33	0.3	0.25	0.12	0.14	0.0	0.01	0.01	0.0	0.04	0.01	0.02	0.06	0.01	0.02	0.07
SdaR	0.25	0.24	0.07	0.06	0.06	0.0	0.09	0.08	0.01	0.02	0.01	0.0	0.06	0.08	0.02	0.0
SiaR	0.43	0.39	0.27	0.18	0.2	0.0	0.03	0.04	0.01	0.02	0.07	0.01	0.08	0.03	0.0	0.03
SoxR	0.12	0.17	0.11	0.03	0.02	0.02	0.03	0.03	0.01	0.03	0.0	0.03	0.0	0.01	0.02	0.01
ThiR	0.11	0.08	0.1	0.03	0.07	0.01	0.0	0.0	0.0	0.06	0.02	0.05	0.07	0.0	0.03	0.07
TrpR	0.18	0.13	0.1	0.02	0.07	0.0	0.02	0.01	0.0	0.01	0.04	0.0	0.04	0.01	0.01	0.0
TtrR	0.01	0.03	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.01	0.01	0.0	0.0	0.01	0.01
TyrR	0.05	0.08	0.01	0.04	0.02	0.01	0.0	0.01	0.0	0.0	0.01	0.04	0.0	0.01	0.0	0.0
VanR	0.28	0.28	0.18	0.07	0.12	0.0	0.04	0.06	0.0	0.0	0.02	0.05	0.07	0.05	0.04	0.0
XylR	0.09	0.07	0.06	0.02	0.06	0.0	0.01	0.0	0.0	0.04	0.01	0.02	0.1	0.01	0.02	0.03
ZntR	0.04	0.01	0.0	0.01	0.0	0.0	0.07	0.03	0.0	0.02	0.01	0.03	0.02	0.13	0.0	0.01
Zur	0.19	0.17	0.13	0.06	0.08	0.01	0.0	0.0	0.0	0.07	0.0	0.03	0.05	0.0	0.03	0.07
