	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
MetR	0.06	0.02	0.08	0.0	0.07	0.04	0.03	0.02	0.03	0.0	0.06	0.13	0.09	0.01	0.02	0.05
MntR	0.01	0.0	0.06	0.0	0.02	0.02	0.02	0.0	0.01	0.0	0.0	0.1	0.01	0.0	0.03	0.05
ModE	0.03	0.01	0.04	0.0	0.0	0.0	0.04	0.01	0.03	0.0	0.04	0.02	0.0	0.0	0.01	0.01
NadQ	0.0	0.0	0.06	0.05	0.0	0.04	0.05	0.12	0.05	0.03	0.01	0.04	0.0	0.03	0.01	0.04
NagC	0.12	0.0	0.15	0.01	0.03	0.06	0.03	0.01	0.03	0.0	0.1	0.19	0.04	0.0	0.0	0.03
NagQ	0.07	0.02	0.01	0.0	0.02	0.01	0.0	0.0	0.0	0.02	0.04	0.03	0.03	0.02	0.01	0.01
NagR	0.06	0.02	0.01	0.0	0.0	0.0	0.02	0.03	0.02	0.01	0.03	0.0	0.01	0.0	0.01	0.0
NarP	0.07	0.06	0.0	0.0	0.0	0.04	0.0	0.04	0.0	0.02	0.0	0.0	0.0	0.01	0.0	0.0
NiaR	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.02	0.01	0.0	0.0	0.0	0.01	0.0
NifA	0.01	0.05	0.01	0.01	0.02	0.01	0.01	0.0	0.0	0.02	0.0	0.0	0.12	0.01	0.0	0.0
NikR	0.06	0.0	0.09	0.0	0.02	0.01	0.04	0.0	0.0	0.0	0.06	0.16	0.04	0.02	0.0	0.02
NmlR	0.06	0.0	0.01	0.01	0.0	0.01	0.08	0.0	0.0	0.02	0.0	0.02	0.01	0.02	0.0	0.01
NnrR	0.06	0.01	0.01	0.09	0.03	0.0	0.0	0.01	0.0	0.03	0.04	0.05	0.07	0.02	0.01	0.04
NorR	0.0	0.01	0.02	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.02	0.07	0.02	0.0	0.04	0.01
NrdR	0.01	0.01	0.0	0.03	0.0	0.0	0.0	0.0	0.02	0.02	0.0	0.09	0.02	0.0	0.01	0.0
NrtR	0.02	0.01	0.07	0.0	0.01	0.01	0.02	0.0	0.0	0.0	0.03	0.07	0.01	0.0	0.02	0.02
NsrR	0.06	0.01	0.11	0.01	0.06	0.02	0.03	0.04	0.05	0.0	0.08	0.11	0.19	0.0	0.03	0.07
NtrC	0.07	0.09	0.02	0.01	0.02	0.01	0.01	0.0	0.01	0.0	0.02	0.01	0.14	0.06	0.0	0.01
PaaR	0.0	0.01	0.0	0.03	0.0	0.01	0.0	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0
PdhR	0.05	0.0	0.04	0.02	0.0	0.01	0.0	0.03	0.0	0.0	0.0	0.03	0.01	0.0	0.0	0.03
PdxR	0.07	0.02	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0
PhnF	0.03	0.04	0.11	0.01	0.02	0.0	0.02	0.04	0.12	0.0	0.04	0.02	0.03	0.0	0.02	0.02
PhnR	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.02	0.0	0.02	0.0	0.0	0.01	0.01	0.01	0.0
Phr	0.01	0.0	0.1	0.0	0.05	0.03	0.0	0.01	0.0	0.01	0.06	0.15	0.06	0.0	0.1	0.07
PhrR	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.02	0.01	0.01	0.0	0.03	0.01	0.02	0.05
PhsR	0.08	0.04	0.05	0.02	0.03	0.03	0.0	0.01	0.0	0.01	0.14	0.06	0.2	0.01	0.02	0.0
PrpR	0.01	0.0	0.06	0.01	0.03	0.01	0.05	0.02	0.04	0.01	0.12	0.0	0.16	0.0	0.0	0.0
PsrA	0.01	0.04	0.02	0.01	0.0	0.02	0.02	0.02	0.0	0.02	0.0	0.12	0.03	0.05	0.0	0.0
PurR	0.05	0.0	0.05	0.01	0.03	0.02	0.05	0.05	0.02	0.01	0.04	0.08	0.11	0.0	0.0	0.02
QorR	0.01	0.0	0.01	0.01	0.0	0.04	0.06	0.02	0.07	0.0	0.0	0.01	0.03	0.0	0.0	0.01
RbkR	0.01	0.01	0.03	0.01	0.01	0.04	0.03	0.04	0.01	0.07	0.01	0.09	0.02	0.01	0.01	0.02
RbsR	0.0	0.01	0.0	0.03	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.01	0.07	0.01	0.02	0.0
Rex	0.0	0.01	0.03	0.01	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.02	0.0	0.0	0.05	0.03
RutR	0.0	0.02	0.0	0.02	0.0	0.01	0.01	0.0	0.0	0.0	0.02	0.0	0.04	0.04	0.01	0.01
SahR_SamR	0.02	0.0	0.14	0.02	0.02	0.05	0.02	0.01	0.06	0.0	0.08	0.11	0.01	0.01	0.06	0.06
SdaR	0.01	0.01	0.0	0.04	0.01	0.02	0.04	0.06	0.01	0.02	0.0	0.07	0.03	0.04	0.03	0.01
SiaR	0.0	0.02	0.03	0.01	0.0	0.04	0.05	0.07	0.02	0.05	0.01	0.04	0.0	0.02	0.03	0.0
SoxR	0.04	0.04	0.09	0.03	0.01	0.01	0.0	0.01	0.03	0.01	0.0	0.06	0.03	0.0	0.0	0.01
ThiR	0.03	0.0	0.05	0.0	0.01	0.02	0.09	0.02	0.02	0.0	0.04	0.11	0.0	0.02	0.02	0.02
TrpR	0.02	0.01	0.02	0.04	0.01	0.0	0.11	0.03	0.1	0.0	0.04	0.0	0.01	0.0	0.0	0.0
TtrR	0.01	0.0	0.0	0.01	0.0	0.03	0.01	0.0	0.01	0.02	0.0	0.0	0.02	0.0	0.01	0.0
TyrR	0.04	0.07	0.03	0.03	0.01	0.03	0.04	0.1	0.0	0.04	0.0	0.04	0.06	0.11	0.01	0.0
VanR	0.0	0.04	0.0	0.0	0.0	0.03	0.01	0.01	0.0	0.02	0.01	0.03	0.02	0.08	0.0	0.0
XylR	0.02	0.0	0.01	0.04	0.0	0.0	0.02	0.0	0.0	0.0	0.05	0.01	0.02	0.0	0.06	0.03
ZntR	0.02	0.03	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.01	0.0	0.02
Zur	0.0	0.0	0.07	0.0	0.03	0.01	0.04	0.04	0.09	0.0	0.03	0.06	0.06	0.01	0.08	0.08
