	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
FadR	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.01	0.01	0.0	0.01	0.02
FixJ	0.04	0.03	0.02	0.02	0.01	0.04	0.0	0.01	0.0	0.04	0.02	0.04	0.02	0.04
FnrN_FixK	0.01	0.03	0.02	0.0	0.01	0.09	0.01	0.0	0.0	0.08	0.03	0.07	0.02	0.0
FruR	0.1	0.1	0.05	0.01	0.0	0.05	0.05	0.02	0.0	0.0	0.03	0.0	0.03	0.06
GguR	0.0	0.0	0.02	0.01	0.0	0.0	0.33	0.13	0.01	0.0	0.02	0.02	0.0	0.0
GlcC	0.12	0.1	0.09	0.0	0.04	0.01	0.15	0.04	0.0	0.0	0.04	0.06	0.01	0.08
GntR	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.03
GulR	0.15	0.16	0.09	0.07	0.01	0.02	0.0	0.01	0.0	0.0	0.01	0.03	0.01	0.02
HcpR	0.02	0.03	0.0	0.0	0.0	0.01	0.06	0.02	0.0	0.06	0.01	0.0	0.01	0.01
HexR	0.02	0.02	0.01	0.01	0.0	0.01	0.01	0.08	0.01	0.0	0.02	0.02	0.09	0.03
HisR	0.07	0.05	0.01	0.01	0.03	0.01	0.01	0.02	0.0	0.0	0.04	0.08	0.05	0.14
HrcA	0.22	0.19	0.03	0.1	0.0	0.01	0.03	0.0	0.0	0.0	0.0	0.0	0.02	0.02
HutC	0.05	0.07	0.09	0.05	0.04	0.0	0.0	0.0	0.0	0.01	0.03	0.01	0.05	0.01
HypR	0.12	0.1	0.0	0.09	0.07	0.05	0.05	0.04	0.01	0.05	0.18	0.0	0.01	0.07
Irr	0.02	0.01	0.02	0.02	0.0	0.0	0.02	0.03	0.0	0.0	0.0	0.02	0.05	0.01
IscR	0.23	0.24	0.12	0.15	0.06	0.04	0.06	0.06	0.0	0.01	0.08	0.07	0.05	0.01
KdgR	0.33	0.34	0.21	0.24	0.11	0.1	0.03	0.02	0.02	0.01	0.07	0.06	0.06	0.08
LexA	0.05	0.04	0.01	0.0	0.02	0.06	0.0	0.06	0.0	0.0	0.0	0.02	0.03	0.01
LiuQ	0.18	0.18	0.02	0.05	0.03	0.05	0.01	0.01	0.05	0.01	0.04	0.0	0.02	0.0
LiuR	0.21	0.2	0.11	0.01	0.07	0.03	0.12	0.02	0.0	0.0	0.03	0.05	0.0	0.03
LldR	0.11	0.1	0.05	0.04	0.01	0.04	0.05	0.01	0.0	0.01	0.0	0.02	0.0	0.03
LtbR	0.03	0.02	0.01	0.0	0.01	0.02	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0
MerR	0.06	0.1	0.01	0.05	0.01	0.03	0.11	0.07	0.0	0.07	0.02	0.03	0.0	0.04
MetJ	0.02	0.01	0.02	0.04	0.05	0.03	0.09	0.0	0.01	0.01	0.03	0.07	0.0	0.03
MetR	0.51	0.55	0.29	0.29	0.15	0.02	0.02	0.02	0.0	0.0	0.07	0.03	0.1	0.04
MntR	0.21	0.25	0.09	0.13	0.05	0.0	0.0	0.0	0.0	0.01	0.0	0.06	0.1	0.05
ModE	0.17	0.21	0.18	0.1	0.04	0.0	0.04	0.01	0.0	0.02	0.02	0.02	0.03	0.01
NadQ	0.01	0.03	0.03	0.09	0.01	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.03	0.02
NagC	0.33	0.32	0.17	0.17	0.11	0.04	0.01	0.0	0.0	0.0	0.03	0.12	0.04	0.09
NagQ	0.01	0.01	0.0	0.01	0.01	0.0	0.03	0.0	0.02	0.01	0.0	0.01	0.0	0.01
NagR	0.15	0.17	0.12	0.06	0.06	0.01	0.04	0.07	0.0	0.0	0.01	0.0	0.01	0.0
NarP	0.1	0.1	0.01	0.02	0.0	0.01	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.01
NiaR	0.01	0.01	0.01	0.04	0.0	0.0	0.05	0.15	0.02	0.01	0.0	0.01	0.04	0.04
NifA	0.21	0.23	0.05	0.1	0.0	0.01	0.06	0.02	0.0	0.03	0.01	0.0	0.0	0.0
NikR	0.15	0.16	0.06	0.08	0.03	0.01	0.01	0.01	0.01	0.0	0.01	0.05	0.01	0.02
NmlR	0.27	0.22	0.08	0.03	0.0	0.08	0.12	0.04	0.01	0.02	0.0	0.01	0.03	0.0
NnrR	0.17	0.15	0.07	0.0	0.04	0.0	0.02	0.0	0.02	0.09	0.02	0.01	0.02	0.05
NorR	0.0	0.01	0.0	0.05	0.01	0.02	0.01	0.0	0.0	0.02	0.07	0.04	0.04	0.08
NrdR	0.02	0.02	0.02	0.0	0.0	0.01	0.01	0.02	0.01	0.02	0.0	0.03	0.05	0.02
NrtR	0.27	0.32	0.19	0.17	0.08	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.14	0.08
NsrR	0.3	0.33	0.18	0.1	0.08	0.02	0.01	0.04	0.0	0.01	0.0	0.07	0.07	0.1
NtrC	0.11	0.11	0.09	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0
PaaR	0.03	0.04	0.03	0.06	0.0	0.0	0.04	0.13	0.01	0.0	0.01	0.03	0.0	0.0
PdhR	0.0	0.0	0.02	0.01	0.0	0.02	0.01	0.06	0.01	0.0	0.01	0.05	0.01	0.07
PdxR	0.03	0.02	0.06	0.0	0.01	0.05	0.07	0.06	0.01	0.0	0.01	0.06	0.01	0.06
PhnF	0.42	0.46	0.27	0.19	0.09	0.04	0.01	0.06	0.02	0.0	0.04	0.02	0.06	0.05
PhnR	0.03	0.03	0.03	0.0	0.02	0.0	0.02	0.0	0.0	0.02	0.02	0.0	0.01	0.0
Phr	0.12	0.13	0.09	0.14	0.07	0.01	0.05	0.0	0.0	0.02	0.04	0.1	0.24	0.09
PhrR	0.0	0.0	0.0	0.02	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.01	0.01	0.01
PhsR	0.31	0.32	0.21	0.1	0.08	0.04	0.16	0.08	0.0	0.0	0.11	0.05	0.01	0.0
PrpR	0.11	0.12	0.08	0.08	0.08	0.03	0.06	0.03	0.03	0.02	0.14	0.0	0.01	0.0
PsrA	0.0	0.0	0.0	0.01	0.02	0.02	0.02	0.0	0.01	0.01	0.01	0.12	0.0	0.01
PurR	0.29	0.29	0.12	0.13	0.03	0.05	0.08	0.11	0.0	0.0	0.0	0.04	0.04	0.06
QorR	0.06	0.04	0.05	0.0	0.0	0.04	0.01	0.0	0.03	0.0	0.0	0.02	0.0	0.02
RbkR	0.07	0.08	0.05	0.07	0.02	0.01	0.01	0.02	0.0	0.01	0.01	0.0	0.05	0.04
RbsR	0.08	0.09	0.05	0.01	0.02	0.0	0.02	0.07	0.01	0.04	0.01	0.01	0.01	0.0
Rex	0.01	0.01	0.01	0.0	0.0	0.0	0.07	0.07	0.0	0.0	0.03	0.0	0.04	0.03
RutR	0.01	0.02	0.0	0.06	0.01	0.01	0.0	0.0	0.0	0.01	0.02	0.0	0.02	0.0
SahR_SamR	0.43	0.49	0.39	0.27	0.12	0.04	0.0	0.01	0.0	0.0	0.03	0.02	0.12	0.06
SdaR	0.01	0.03	0.02	0.04	0.0	0.01	0.13	0.1	0.01	0.0	0.0	0.15	0.02	0.02
SiaR	0.05	0.08	0.1	0.07	0.01	0.02	0.0	0.02	0.01	0.02	0.01	0.0	0.01	0.02
SoxR	0.07	0.06	0.06	0.13	0.02	0.02	0.07	0.01	0.0	0.04	0.05	0.12	0.01	0.0
ThiR	0.09	0.09	0.07	0.07	0.01	0.01	0.02	0.0	0.0	0.02	0.0	0.07	0.08	0.02
TrpR	0.11	0.13	0.05	0.07	0.04	0.0	0.05	0.02	0.04	0.0	0.02	0.02	0.01	0.0
TtrR	0.07	0.09	0.03	0.06	0.01	0.0	0.0	0.0	0.02	0.02	0.0	0.04	0.03	0.03
TyrR	0.0	0.01	0.04	0.02	0.01	0.02	0.05	0.07	0.01	0.01	0.0	0.01	0.0	0.01
VanR	0.17	0.16	0.04	0.07	0.0	0.01	0.0	0.0	0.02	0.01	0.02	0.03	0.0	0.03
XylR	0.25	0.31	0.12	0.07	0.07	0.01	0.0	0.01	0.04	0.04	0.02	0.01	0.04	0.06
ZntR	0.09	0.08	0.0	0.04	0.01	0.02	0.05	0.06	0.0	0.0	0.01	0.0	0.0	0.02
Zur	0.26	0.3	0.23	0.18	0.15	0.02	0.01	0.0	0.02	0.01	0.08	0.04	0.15	0.11
