	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
HisR	0.0	0.02	0.0	0.01	0.0	0.0	0.03	0.03	0.05	0.01	0.01	0.01	0.02	0.0	0.0	0.01
HrcA	0.18	0.05	0.06	0.04	0.03	0.01	0.01	0.0	0.01	0.0	0.08	0.06	0.1	0.01	0.0	0.04
HutC	0.0	0.01	0.04	0.03	0.05	0.0	0.01	0.01	0.01	0.03	0.08	0.02	0.11	0.02	0.0	0.03
HypR	0.01	0.0	0.01	0.06	0.01	0.0	0.02	0.01	0.01	0.2	0.0	0.02	0.12	0.0	0.0	0.0
Irr	0.1	0.0	0.1	0.01	0.01	0.01	0.02	0.0	0.02	0.0	0.08	0.09	0.02	0.0	0.0	0.01
IscR	0.03	0.02	0.08	0.0	0.06	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.12	0.0	0.04	0.06
KdgR	0.14	0.01	0.1	0.02	0.02	0.02	0.01	0.0	0.01	0.02	0.05	0.2	0.03	0.0	0.0	0.06
LexA	0.03	0.02	0.03	0.01	0.02	0.0	0.08	0.02	0.14	0.02	0.08	0.01	0.18	0.0	0.0	0.02
LiuQ	0.12	0.0	0.0	0.02	0.01	0.04	0.03	0.0	0.0	0.0	0.0	0.07	0.1	0.0	0.0	0.01
LiuR	0.02	0.01	0.19	0.0	0.05	0.03	0.05	0.06	0.17	0.0	0.08	0.03	0.1	0.0	0.01	0.05
LldR	0.03	0.01	0.01	0.02	0.0	0.0	0.07	0.06	0.05	0.02	0.01	0.0	0.01	0.0	0.01	0.01
LtbR	0.01	0.01	0.0	0.03	0.0	0.0	0.01	0.03	0.0	0.08	0.0	0.0	0.0	0.0	0.01	0.03
MerR	0.0	0.02	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.03	0.01	0.08	0.02	0.0	0.01	0.01
MetJ	0.03	0.0	0.13	0.01	0.02	0.04	0.02	0.03	0.01	0.0	0.02	0.03	0.02	0.01	0.0	0.04
MetR	0.05	0.0	0.14	0.0	0.06	0.05	0.01	0.02	0.03	0.0	0.1	0.12	0.09	0.0	0.05	0.12
MntR	0.03	0.0	0.08	0.0	0.02	0.01	0.01	0.0	0.0	0.01	0.05	0.12	0.07	0.0	0.04	0.04
ModE	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.0	0.01	0.01
NadQ	0.01	0.01	0.04	0.0	0.02	0.02	0.01	0.02	0.01	0.01	0.08	0.03	0.05	0.0	0.0	0.01
NagC	0.06	0.0	0.09	0.02	0.03	0.01	0.01	0.0	0.01	0.02	0.08	0.12	0.03	0.0	0.01	0.05
NagQ	0.0	0.02	0.01	0.0	0.02	0.0	0.0	0.0	0.02	0.0	0.01	0.0	0.06	0.0	0.01	0.0
NagR	0.03	0.04	0.01	0.03	0.03	0.0	0.02	0.06	0.04	0.0	0.04	0.01	0.28	0.02	0.01	0.0
NarP	0.05	0.1	0.0	0.04	0.01	0.04	0.04	0.09	0.0	0.01	0.06	0.0	0.04	0.08	0.03	0.0
NiaR	0.06	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.03	0.03	0.0	0.0	0.05	0.0	0.01	0.02
NifA	0.01	0.0	0.02	0.0	0.0	0.01	0.01	0.0	0.01	0.02	0.02	0.08	0.0	0.0	0.06	0.02
NikR	0.06	0.05	0.02	0.0	0.0	0.0	0.06	0.07	0.1	0.0	0.0	0.0	0.0	0.0	0.01	0.0
NmlR	0.03	0.0	0.02	0.0	0.01	0.0	0.01	0.02	0.02	0.01	0.02	0.05	0.09	0.01	0.0	0.0
NnrR	0.03	0.03	0.08	0.01	0.11	0.0	0.01	0.01	0.06	0.02	0.06	0.1	0.25	0.01	0.0	0.05
NorR	0.0	0.0	0.06	0.0	0.0	0.04	0.01	0.0	0.0	0.0	0.0	0.02	0.05	0.01	0.16	0.13
NrdR	0.01	0.0	0.0	0.01	0.01	0.04	0.04	0.01	0.0	0.01	0.0	0.0	0.04	0.08	0.0	0.0
NrtR	0.02	0.0	0.06	0.01	0.03	0.01	0.0	0.0	0.0	0.01	0.07	0.14	0.04	0.0	0.01	0.04
NsrR	0.0	0.0	0.04	0.01	0.02	0.0	0.0	0.0	0.01	0.01	0.04	0.06	0.06	0.0	0.01	0.02
NtrC	0.16	0.05	0.14	0.0	0.06	0.02	0.05	0.02	0.09	0.0	0.07	0.11	0.14	0.0	0.0	0.08
PaaR	0.0	0.01	0.0	0.02	0.01	0.0	0.0	0.0	0.0	0.02	0.0	0.05	0.02	0.01	0.0	0.01
PdhR	0.0	0.01	0.01	0.0	0.03	0.0	0.0	0.07	0.03	0.0	0.0	0.0	0.03	0.01	0.02	0.08
PdxR	0.0	0.01	0.02	0.01	0.05	0.0	0.03	0.0	0.05	0.01	0.11	0.03	0.21	0.0	0.01	0.01
PhnF	0.07	0.02	0.18	0.0	0.07	0.03	0.08	0.02	0.12	0.02	0.1	0.04	0.08	0.0	0.08	0.12
PhnR	0.01	0.05	0.02	0.03	0.0	0.01	0.02	0.05	0.07	0.03	0.0	0.06	0.02	0.01	0.0	0.02
Phr	0.0	0.01	0.04	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.04	0.06	0.01	0.0	0.02	0.04
PhrR	0.06	0.05	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.06	0.01	0.01	0.01	0.02
PhsR	0.03	0.01	0.01	0.01	0.01	0.0	0.03	0.0	0.02	0.0	0.0	0.0	0.06	0.0	0.0	0.01
PrpR	0.02	0.0	0.03	0.0	0.0	0.01	0.02	0.01	0.0	0.0	0.0	0.02	0.0	0.0	0.01	0.03
PsrA	0.0	0.01	0.0	0.02	0.0	0.0	0.02	0.03	0.07	0.06	0.0	0.13	0.0	0.0	0.01	0.01
PurR	0.0	0.0	0.02	0.03	0.04	0.01	0.0	0.02	0.06	0.01	0.05	0.0	0.04	0.0	0.01	0.01
QorR	0.04	0.0	0.01	0.04	0.0	0.0	0.01	0.01	0.0	0.03	0.02	0.02	0.0	0.02	0.0	0.01
RbkR	0.04	0.0	0.09	0.01	0.05	0.03	0.02	0.01	0.03	0.01	0.03	0.1	0.08	0.0	0.05	0.09
RbsR	0.0	0.01	0.01	0.01	0.01	0.01	0.02	0.04	0.02	0.0	0.11	0.02	0.04	0.0	0.0	0.0
Rex	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.02	0.01	0.06	0.01	0.0	0.02
RutR	0.01	0.06	0.02	0.01	0.0	0.0	0.0	0.01	0.04	0.04	0.0	0.02	0.0	0.01	0.0	0.0
SahR_SamR	0.02	0.0	0.12	0.0	0.04	0.01	0.01	0.0	0.03	0.0	0.05	0.12	0.03	0.0	0.05	0.1
SdaR	0.09	0.07	0.05	0.0	0.0	0.01	0.0	0.0	0.02	0.02	0.02	0.01	0.0	0.0	0.0	0.02
SiaR	0.05	0.01	0.12	0.0	0.03	0.02	0.04	0.05	0.06	0.0	0.1	0.04	0.07	0.0	0.0	0.05
SoxR	0.0	0.01	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.02	0.0	0.0	0.07	0.01	0.02	0.04
ThiR	0.06	0.0	0.08	0.02	0.05	0.02	0.01	0.0	0.02	0.01	0.05	0.11	0.1	0.0	0.05	0.11
TrpR	0.04	0.04	0.0	0.05	0.0	0.0	0.01	0.02	0.0	0.05	0.01	0.01	0.01	0.02	0.01	0.0
TtrR	0.01	0.05	0.01	0.03	0.03	0.0	0.0	0.01	0.0	0.02	0.0	0.05	0.15	0.0	0.0	0.0
TyrR	0.0	0.01	0.01	0.01	0.03	0.0	0.01	0.0	0.01	0.0	0.06	0.01	0.12	0.0	0.0	0.0
VanR	0.0	0.01	0.0	0.0	0.04	0.02	0.01	0.02	0.0	0.04	0.01	0.02	0.38	0.0	0.01	0.0
XylR	0.06	0.01	0.04	0.03	0.07	0.0	0.0	0.01	0.01	0.02	0.07	0.04	0.17	0.01	0.01	0.05
ZntR	0.01	0.02	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.01	0.02	0.01	0.0	0.0
Zur	0.02	0.0	0.06	0.01	0.02	0.01	0.0	0.0	0.02	0.02	0.01	0.07	0.02	0.0	0.08	0.12
