	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
LexA	0.39	0.42	0.22	0.2	0.09	0.0	0.08	0.06	0.02	0.01	0.12	0.03	0.0	0.01
LiuQ	0.02	0.0	0.0	0.02	0.0	0.04	0.02	0.01	0.01	0.0	0.0	0.04	0.02	0.04
LiuR	0.57	0.62	0.42	0.23	0.2	0.01	0.03	0.07	0.01	0.0	0.07	0.02	0.02	0.07
LldR	0.01	0.0	0.0	0.0	0.0	0.05	0.17	0.1	0.04	0.03	0.01	0.05	0.01	0.05
LtbR	0.04	0.03	0.02	0.03	0.01	0.01	0.02	0.06	0.01	0.03	0.0	0.0	0.01	0.02
MerR	0.13	0.15	0.09	0.07	0.04	0.01	0.0	0.01	0.03	0.06	0.01	0.03	0.04	0.01
MetJ	0.07	0.06	0.02	0.01	0.01	0.03	0.13	0.04	0.0	0.01	0.0	0.06	0.0	0.03
MetR	0.48	0.51	0.26	0.32	0.16	0.03	0.0	0.04	0.0	0.0	0.05	0.05	0.15	0.2
MntR	0.3	0.35	0.24	0.18	0.12	0.0	0.0	0.0	0.01	0.04	0.01	0.04	0.22	0.11
ModE	0.11	0.14	0.11	0.07	0.02	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.04	0.01
NadQ	0.25	0.29	0.17	0.12	0.12	0.0	0.0	0.0	0.0	0.06	0.06	0.01	0.02	0.0
NagC	0.43	0.46	0.25	0.19	0.13	0.0	0.0	0.01	0.0	0.04	0.04	0.08	0.15	0.15
NagQ	0.11	0.11	0.05	0.01	0.03	0.01	0.09	0.03	0.0	0.0	0.07	0.01	0.0	0.0
NagR	0.06	0.07	0.06	0.01	0.06	0.01	0.02	0.06	0.01	0.02	0.08	0.01	0.01	0.0
NarP	0.0	0.0	0.0	0.05	0.03	0.0	0.03	0.11	0.0	0.01	0.03	0.01	0.04	0.0
NiaR	0.06	0.05	0.01	0.0	0.01	0.0	0.01	0.0	0.05	0.02	0.0	0.0	0.0	0.0
NifA	0.2	0.23	0.09	0.12	0.04	0.0	0.02	0.01	0.0	0.05	0.03	0.05	0.13	0.02
NikR	0.07	0.05	0.03	0.0	0.0	0.05	0.12	0.16	0.05	0.02	0.0	0.0	0.01	0.0
NmlR	0.16	0.17	0.04	0.14	0.06	0.0	0.0	0.04	0.0	0.01	0.01	0.0	0.0	0.0
NnrR	0.43	0.48	0.27	0.15	0.16	0.0	0.1	0.1	0.0	0.04	0.08	0.01	0.04	0.06
NorR	0.03	0.02	0.03	0.0	0.01	0.06	0.0	0.0	0.0	0.0	0.1	0.02	0.21	0.22
NrdR	0.03	0.02	0.01	0.0	0.01	0.11	0.16	0.0	0.0	0.02	0.01	0.02	0.0	0.0
NrtR	0.22	0.25	0.11	0.11	0.09	0.0	0.0	0.01	0.01	0.05	0.01	0.02	0.11	0.07
NsrR	0.33	0.41	0.26	0.17	0.1	0.0	0.0	0.03	0.0	0.04	0.0	0.0	0.09	0.05
NtrC	0.51	0.56	0.31	0.18	0.13	0.01	0.01	0.02	0.0	0.01	0.02	0.02	0.04	0.09
PaaR	0.1	0.12	0.11	0.01	0.03	0.03	0.02	0.0	0.0	0.03	0.01	0.01	0.01	0.01
PdhR	0.0	0.0	0.0	0.01	0.0	0.03	0.09	0.14	0.03	0.0	0.0	0.0	0.01	0.04
PdxR	0.21	0.26	0.11	0.2	0.09	0.01	0.02	0.0	0.0	0.01	0.07	0.01	0.01	0.01
PhnF	0.39	0.42	0.2	0.22	0.11	0.04	0.05	0.03	0.02	0.01	0.1	0.02	0.18	0.12
PhnR	0.01	0.03	0.05	0.02	0.02	0.08	0.16	0.07	0.1	0.09	0.01	0.0	0.01	0.0
Phr	0.1	0.13	0.06	0.07	0.04	0.01	0.0	0.01	0.0	0.1	0.0	0.03	0.08	0.04
PhrR	0.09	0.08	0.02	0.06	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.05	0.01
PhsR	0.13	0.13	0.06	0.01	0.03	0.02	0.2	0.09	0.02	0.01	0.02	0.05	0.0	0.03
PrpR	0.22	0.22	0.2	0.12	0.03	0.04	0.01	0.01	0.0	0.0	0.02	0.0	0.05	0.11
PsrA	0.1	0.13	0.16	0.04	0.0	0.0	0.01	0.03	0.0	0.0	0.01	0.17	0.06	0.05
PurR	0.41	0.5	0.26	0.26	0.08	0.01	0.01	0.05	0.04	0.02	0.0	0.01	0.02	0.0
QorR	0.08	0.08	0.03	0.0	0.01	0.01	0.03	0.05	0.01	0.07	0.01	0.01	0.0	0.05
RbkR	0.25	0.3	0.12	0.13	0.1	0.01	0.03	0.04	0.01	0.05	0.05	0.03	0.22	0.11
RbsR	0.1	0.14	0.12	0.05	0.04	0.01	0.06	0.09	0.0	0.05	0.01	0.0	0.0	0.0
Rex	0.0	0.01	0.01	0.0	0.0	0.01	0.02	0.01	0.0	0.04	0.0	0.01	0.02	0.03
RutR	0.02	0.02	0.0	0.01	0.0	0.01	0.07	0.07	0.03	0.08	0.0	0.0	0.0	0.0
SahR_SamR	0.5	0.57	0.37	0.29	0.14	0.0	0.01	0.03	0.0	0.01	0.02	0.01	0.24	0.21
SdaR	0.03	0.03	0.01	0.03	0.0	0.04	0.0	0.01	0.01	0.03	0.0	0.01	0.0	0.02
SiaR	0.27	0.33	0.17	0.19	0.06	0.0	0.0	0.05	0.0	0.0	0.02	0.01	0.01	0.02
SoxR	0.05	0.06	0.0	0.03	0.01	0.02	0.0	0.0	0.01	0.0	0.0	0.01	0.02	0.06
ThiR	0.31	0.33	0.22	0.12	0.16	0.01	0.0	0.0	0.0	0.04	0.05	0.08	0.2	0.2
TrpR	0.03	0.01	0.03	0.04	0.01	0.02	0.0	0.0	0.0	0.0	0.02	0.0	0.05	0.0
TtrR	0.01	0.01	0.07	0.0	0.05	0.1	0.09	0.04	0.0	0.03	0.04	0.09	0.0	0.0
TyrR	0.0	0.0	0.01	0.01	0.02	0.0	0.03	0.0	0.0	0.0	0.03	0.0	0.02	0.01
VanR	0.01	0.02	0.02	0.01	0.04	0.0	0.0	0.04	0.0	0.05	0.03	0.0	0.03	0.02
XylR	0.37	0.4	0.29	0.13	0.14	0.0	0.0	0.0	0.0	0.05	0.05	0.0	0.09	0.09
ZntR	0.01	0.01	0.03	0.09	0.0	0.02	0.16	0.05	0.01	0.01	0.0	0.01	0.02	0.0
Zur	0.26	0.29	0.15	0.14	0.04	0.01	0.0	0.0	0.0	0.02	0.0	0.05	0.16	0.15
