	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
FruR	0.05	0.06	0.07	0.03	0.05	0.02	0.01	0.01	0.0	0.04	0.01	0.09	0.12	0.01	0.27	0.14
FUR	0.49	0.53	0.29	0.21	0.13	0.01	0.01	0.02	0.0	0.05	0.03	0.04	0.05	0.03	0.09	0.11
GguR	0.15	0.19	0.06	0.07	0.01	0.0	0.28	0.15	0.03	0.02	0.0	0.01	0.0	0.2	0.01	0.0
GlcC	0.01	0.02	0.01	0.0	0.01	0.01	0.0	0.01	0.0	0.03	0.0	0.03	0.0	0.05	0.07	0.01
GntR	0.48	0.5	0.25	0.17	0.1	0.02	0.09	0.06	0.02	0.0	0.05	0.07	0.05	0.05	0.07	0.08
GulR	0.56	0.62	0.3	0.25	0.12	0.0	0.06	0.03	0.0	0.04	0.03	0.0	0.05	0.04	0.16	0.15
HcpR	0.0	0.01	0.04	0.0	0.04	0.07	0.06	0.09	0.04	0.09	0.02	0.0	0.15	0.02	0.0	0.02
HexR	0.02	0.03	0.02	0.01	0.0	0.02	0.06	0.01	0.0	0.01	0.0	0.01	0.0	0.05	0.02	0.0
HisR	0.08	0.09	0.08	0.01	0.0	0.0	0.1	0.04	0.02	0.04	0.01	0.0	0.0	0.03	0.01	0.0
HrcA	0.4	0.42	0.27	0.17	0.05	0.0	0.05	0.05	0.01	0.0	0.01	0.01	0.0	0.03	0.01	0.05
HutC	0.03	0.05	0.08	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.07	0.01
HypR	0.0	0.0	0.0	0.01	0.04	0.02	0.0	0.04	0.02	0.03	0.06	0.01	0.1	0.0	0.0	0.01
Irr	0.49	0.58	0.32	0.21	0.11	0.0	0.01	0.02	0.0	0.02	0.05	0.0	0.02	0.04	0.0	0.0
IscR	0.3	0.32	0.21	0.12	0.1	0.03	0.02	0.03	0.01	0.02	0.04	0.07	0.1	0.02	0.15	0.16
KdgR	0.4	0.39	0.22	0.15	0.09	0.03	0.0	0.01	0.0	0.03	0.03	0.11	0.02	0.01	0.1	0.18
LexA	0.08	0.11	0.06	0.07	0.07	0.02	0.01	0.0	0.07	0.01	0.06	0.02	0.05	0.0	0.05	0.13
LiuQ	0.02	0.0	0.0	0.03	0.01	0.04	0.03	0.0	0.03	0.0	0.06	0.04	0.01	0.0	0.07	0.13
LiuR	0.55	0.58	0.34	0.21	0.12	0.04	0.06	0.09	0.0	0.0	0.05	0.02	0.03	0.05	0.04	0.1
LldR	0.19	0.18	0.15	0.09	0.11	0.01	0.05	0.0	0.01	0.0	0.04	0.01	0.05	0.0	0.0	0.04
LtbR	0.03	0.05	0.0	0.05	0.0	0.02	0.02	0.04	0.01	0.02	0.03	0.07	0.05	0.06	0.01	0.04
MerR	0.15	0.16	0.08	0.06	0.02	0.0	0.0	0.0	0.01	0.03	0.0	0.02	0.0	0.02	0.03	0.05
MetJ	0.02	0.02	0.0	0.02	0.0	0.0	0.01	0.02	0.0	0.01	0.06	0.03	0.01	0.02	0.04	0.15
MetR	0.57	0.61	0.31	0.25	0.16	0.02	0.03	0.06	0.0	0.02	0.04	0.04	0.07	0.05	0.12	0.22
MntR	0.27	0.27	0.16	0.11	0.09	0.01	0.0	0.0	0.0	0.05	0.02	0.07	0.08	0.0	0.12	0.16
ModE	0.06	0.08	0.07	0.02	0.03	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.03	0.01	0.05	0.0
NadQ	0.19	0.24	0.15	0.09	0.07	0.0	0.0	0.0	0.01	0.1	0.03	0.0	0.05	0.01	0.04	0.03
NagC	0.34	0.35	0.19	0.14	0.09	0.01	0.0	0.01	0.0	0.04	0.02	0.06	0.05	0.01	0.08	0.15
NagQ	0.17	0.19	0.06	0.02	0.01	0.0	0.09	0.03	0.01	0.01	0.0	0.0	0.0	0.05	0.02	0.0
NagR	0.35	0.34	0.13	0.07	0.04	0.02	0.02	0.02	0.0	0.01	0.02	0.0	0.0	0.0	0.01	0.01
NarP	0.04	0.06	0.01	0.01	0.02	0.04	0.06	0.02	0.01	0.0	0.02	0.08	0.09	0.04	0.02	0.05
NiaR	0.04	0.05	0.05	0.01	0.0	0.02	0.07	0.03	0.02	0.0	0.0	0.05	0.01	0.02	0.0	0.0
NifA	0.16	0.19	0.07	0.08	0.05	0.0	0.0	0.01	0.01	0.09	0.02	0.0	0.02	0.03	0.02	0.0
NikR	0.07	0.05	0.0	0.04	0.01	0.08	0.01	0.06	0.02	0.0	0.01	0.01	0.03	0.01	0.02	0.01
NmlR	0.13	0.1	0.06	0.03	0.01	0.04	0.01	0.01	0.0	0.0	0.01	0.02	0.0	0.01	0.01	0.03
NnrR	0.35	0.36	0.22	0.09	0.12	0.01	0.02	0.01	0.0	0.02	0.06	0.04	0.13	0.01	0.03	0.04
NorR	0.01	0.01	0.0	0.01	0.01	0.0	0.03	0.02	0.01	0.0	0.1	0.02	0.18	0.03	0.11	0.12
NrdR	0.05	0.06	0.09	0.03	0.09	0.01	0.01	0.0	0.0	0.01	0.12	0.02	0.14	0.02	0.0	0.0
NrtR	0.18	0.2	0.12	0.09	0.06	0.01	0.0	0.0	0.0	0.05	0.01	0.03	0.04	0.0	0.1	0.11
NsrR	0.28	0.32	0.2	0.13	0.09	0.0	0.0	0.01	0.0	0.04	0.02	0.02	0.05	0.01	0.09	0.09
NtrC	0.39	0.44	0.24	0.13	0.09	0.0	0.01	0.01	0.0	0.01	0.01	0.02	0.04	0.01	0.06	0.07
PaaR	0.19	0.19	0.23	0.05	0.06	0.02	0.0	0.0	0.0	0.0	0.02	0.03	0.0	0.02	0.03	0.01
PdhR	0.02	0.03	0.03	0.02	0.01	0.0	0.02	0.0	0.0	0.01	0.05	0.01	0.01	0.01	0.01	0.0
PdxR	0.06	0.06	0.01	0.12	0.01	0.0	0.0	0.0	0.05	0.0	0.0	0.03	0.0	0.01	0.2	0.04
PhnF	0.04	0.07	0.05	0.08	0.03	0.0	0.07	0.02	0.02	0.01	0.01	0.0	0.02	0.01	0.11	0.0
PhnR	0.07	0.1	0.06	0.13	0.01	0.02	0.0	0.0	0.04	0.06	0.0	0.0	0.01	0.05	0.11	0.03
Phr	0.14	0.15	0.09	0.05	0.05	0.0	0.0	0.0	0.0	0.07	0.0	0.05	0.05	0.0	0.06	0.09
PhrR	0.04	0.06	0.04	0.03	0.02	0.01	0.01	0.0	0.0	0.07	0.0	0.0	0.01	0.0	0.04	0.01
PhsR	0.09	0.12	0.1	0.01	0.02	0.01	0.1	0.04	0.0	0.0	0.0	0.0	0.02	0.06	0.01	0.0
PrpR	0.0	0.0	0.01	0.0	0.0	0.03	0.15	0.03	0.08	0.05	0.0	0.0	0.02	0.02	0.01	0.01
PsrA	0.13	0.13	0.1	0.05	0.0	0.02	0.03	0.02	0.0	0.06	0.0	0.04	0.01	0.04	0.05	0.02
PurR	0.63	0.66	0.37	0.26	0.13	0.01	0.06	0.07	0.01	0.01	0.04	0.02	0.03	0.16	0.05	0.08
QorR	0.34	0.36	0.22	0.13	0.04	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.03	0.0	0.02
RbkR	0.23	0.23	0.12	0.08	0.06	0.03	0.02	0.01	0.0	0.02	0.02	0.06	0.03	0.02	0.06	0.08
RbsR	0.23	0.26	0.17	0.09	0.1	0.0	0.02	0.04	0.0	0.01	0.07	0.02	0.08	0.03	0.0	0.0
Rex	0.0	0.01	0.03	0.03	0.0	0.01	0.06	0.01	0.0	0.09	0.0	0.03	0.0	0.01	0.06	0.06
RutR	0.05	0.05	0.04	0.01	0.02	0.01	0.05	0.01	0.0	0.08	0.03	0.01	0.03	0.02	0.02	0.0
SahR_SamR	0.47	0.51	0.29	0.23	0.11	0.0	0.0	0.01	0.0	0.03	0.03	0.02	0.03	0.02	0.11	0.15
SdaR	0.24	0.25	0.06	0.09	0.03	0.01	0.12	0.11	0.01	0.02	0.02	0.0	0.03	0.11	0.01	0.02
SiaR	0.46	0.53	0.27	0.25	0.14	0.0	0.01	0.04	0.0	0.02	0.05	0.01	0.07	0.04	0.03	0.02
SoxR	0.07	0.09	0.09	0.02	0.0	0.01	0.04	0.05	0.02	0.02	0.02	0.02	0.02	0.0	0.0	0.02
ThiR	0.22	0.23	0.15	0.1	0.1	0.01	0.01	0.0	0.0	0.06	0.04	0.07	0.07	0.0	0.15	0.15
TrpR	0.19	0.16	0.12	0.0	0.06	0.0	0.02	0.01	0.01	0.0	0.05	0.0	0.04	0.01	0.04	0.0
TtrR	0.0	0.01	0.02	0.0	0.0	0.01	0.01	0.0	0.02	0.03	0.02	0.03	0.0	0.01	0.0	0.01
TyrR	0.03	0.03	0.0	0.03	0.02	0.0	0.0	0.02	0.0	0.0	0.03	0.01	0.0	0.02	0.02	0.03
VanR	0.22	0.23	0.13	0.03	0.05	0.01	0.02	0.03	0.0	0.0	0.04	0.03	0.05	0.03	0.12	0.05
XylR	0.18	0.18	0.1	0.05	0.08	0.0	0.01	0.0	0.0	0.04	0.05	0.03	0.1	0.03	0.08	0.07
ZntR	0.08	0.06	0.02	0.03	0.0	0.0	0.05	0.03	0.0	0.01	0.0	0.01	0.01	0.13	0.0	0.01
Zur	0.27	0.29	0.14	0.12	0.06	0.01	0.0	0.01	0.0	0.06	0.01	0.04	0.02	0.01	0.09	0.09
