	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
GntR	0.2	0.01	0.05	0.0	0.07	0.23	0.02	0.0	0.02	0.13	0.01	0.14		
GulR	0.1	0.08	0.09	0.01	0.21	0.07	0.0	0.01	0.07	0.18	0.0	0.0		
HcpR	0.01	0.05	0.0	0.01	0.01	0.06	0.05	0.03	0.0	0.0	0.02	0.07		
HexR	0.01	0.22	0.01	0.11	0.02	0.01	0.28	0.09	0.05	0.04	0.0	0.13		
HisR	0.0	0.0	0.18	0.11	0.04	0.02	0.01	0.0	0.0	0.0	0.0	0.03		
HrcA	0.06	0.04	0.04	0.15	0.01	0.0	0.01	0.02	0.0	0.04	0.05	0.11		
HutC	0.01	0.0	0.01	0.08	0.02	0.19	0.04	0.02	0.1	0.05	0.06	0.18		
HypR	0.09	0.17	0.03	0.07	0.18	0.1	0.01	0.0	0.07	0.0	0.35	0.21		
Irr	0.24	0.05	0.04	0.01	0.05	0.18	0.02	0.02	0.01	0.1	0.01	0.02		
IscR	0.05	0.07	0.0	0.15	0.02	0.04	0.12	0.03	0.0	0.1	0.05	0.12		
KdgR	0.19	0.06	0.13	0.05	0.04	0.14	0.08	0.04	0.07	0.24	0.02	0.16		
LexA	0.01	0.01	0.0	0.0	0.02	0.01	0.01	0.01	0.0	0.01	0.22	0.23		
LiuQ	0.17	0.02	0.01	0.02	0.0	0.07	0.03	0.0	0.12	0.12	0.04	0.03		
LiuR	0.19	0.35	0.13	0.1	0.23	0.29	0.17	0.12	0.09	0.21	0.03	0.1		
LldR	0.03	0.03	0.08	0.09	0.06	0.07	0.18	0.13	0.14	0.14	0.0	0.1		
LtbR	0.06	0.03	0.2	0.01	0.01	0.04	0.0	0.03	0.03	0.0	0.0	0.0		
MerR	0.1	0.05	0.03	0.06	0.02	0.25	0.05	0.02	0.25	0.25	0.02	0.2		
MetJ	0.03	0.0	0.01	0.08	0.04	0.0	0.09	0.01	0.0	0.05	0.02	0.13		
MetR	0.28	0.23	0.02	0.36	0.13	0.22	0.1	0.03	0.06	0.3	0.0	0.11		
MntR	0.1	0.03	0.11	0.09	0.09	0.29	0.04	0.04	0.14	0.26	0.02	0.18		
ModE	0.24	0.05	0.06	0.02	0.07	0.27	0.0	0.0	0.11	0.18	0.0	0.25		
NadQ	0.18	0.06	0.06	0.06	0.13	0.22	0.03	0.04	0.05	0.2	0.0	0.1		
NagC	0.26	0.08	0.04	0.1	0.06	0.23	0.08	0.05	0.09	0.34	0.01	0.07		
NagQ	0.01	0.0	0.01	0.05	0.05	0.0	0.01	0.0	0.0	0.08	0.0	0.09		
NagR	0.01	0.05	0.09	0.02	0.07	0.01	0.04	0.03	0.01	0.01	0.0	0.02		
NarP	0.0	0.02	0.07	0.11	0.05	0.01	0.01	0.11	0.01	0.04	0.02	0.04		
NiaR	0.01	0.02	0.0	0.01	0.01	0.0	0.0	0.0	0.12	0.0	0.03	0.0		
NifA	0.2	0.05	0.0	0.17	0.01	0.21	0.0	0.01	0.0	0.08	0.05	0.04		
NikR	0.01	0.04	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.07	0.02	0.02		
NmlR	0.04	0.02	0.05	0.11	0.01	0.1	0.0	0.01	0.14	0.03	0.04	0.44		
NnrR	0.28	0.26	0.03	0.09	0.06	0.18	0.0	0.0	0.03	0.17	0.01	0.2		
NorR	0.05	0.04	0.0	0.04	0.17	0.03	0.01	0.0	0.02	0.02	0.44	0.0		
NrdR	0.0	0.02	0.01	0.03	0.03	0.05	0.09	0.08	0.07	0.07	0.01	0.14		
NrtR	0.18	0.04	0.01	0.08	0.03	0.18	0.0	0.0	0.08	0.19	0.05	0.33		
NsrR	0.28	0.11	0.06	0.06	0.06	0.23	0.01	0.0	0.07	0.26	0.06	0.26		
NtrC	0.18	0.28	0.04	0.1	0.05	0.11	0.17	0.11	0.05	0.26	0.07	0.07		
PaaR	0.0	0.01	0.09	0.01	0.01	0.03	0.16	0.26	0.06	0.09	0.05	0.04		
PdhR	0.02	0.01	0.05	0.0	0.0	0.12	0.02	0.1	0.03	0.06	0.04	0.0		
PdxR	0.19	0.13	0.01	0.31	0.08	0.12	0.09	0.09	0.14	0.28	0.01	0.0		
PhnF	0.06	0.12	0.0	0.15	0.03	0.07	0.18	0.12	0.07	0.04	0.01	0.0		
PhnR	0.03	0.0	0.18	0.01	0.09	0.23	0.04	0.1	0.22	0.21	0.04	0.03		
Phr	0.16	0.01	0.01	0.06	0.06	0.21	0.01	0.0	0.09	0.26	0.07	0.08		
PhrR	0.0	0.05	0.0	0.01	0.0	0.03	0.01	0.01	0.0	0.02	0.04	0.11		
PhsR	0.01	0.02	0.02	0.01	0.01	0.02	0.08	0.12	0.0	0.01	0.0	0.02		
PrpR	0.12	0.03	0.12	0.09	0.03	0.07	0.19	0.16	0.01	0.09	0.02	0.0		
PsrA	0.06	0.3	0.18	0.04	0.02	0.01	0.06	0.02	0.03	0.13	0.05	0.04		
PurR	0.23	0.3	0.02	0.11	0.07	0.28	0.02	0.0	0.25	0.28	0.03	0.11		
QorR	0.15	0.01	0.04	0.07	0.01	0.19	0.06	0.0	0.02	0.04	0.0	0.01		
RbkR	0.31	0.11	0.01	0.14	0.11	0.25	0.01	0.0	0.06	0.3	0.01	0.05		
RbsR	0.19	0.12	0.05	0.08	0.05	0.07	0.0	0.03	0.02	0.1	0.0	0.1		
Rex	0.01	0.05	0.04	0.01	0.0	0.13	0.16	0.15	0.07	0.19	0.07	0.1		
RutR	0.19	0.08	0.06	0.01	0.06	0.06	0.05	0.09	0.0	0.01	0.02	0.0		
SahR_SamR	0.25	0.17	0.08	0.07	0.14	0.26	0.07	0.05	0.08	0.33	0.02	0.23		
SdaR	0.0	0.08	0.0	0.08	0.0	0.09	0.1	0.03	0.03	0.04	0.0	0.12		
SiaR	0.31	0.06	0.03	0.06	0.07	0.44	0.0	0.0	0.26	0.36	0.01	0.1		
SoxR	0.3	0.34	0.02	0.14	0.13	0.07	0.21	0.16	0.13	0.28	0.0	0.04		
ThiR	0.17	0.05	0.1	0.08	0.14	0.19	0.05	0.03	0.19	0.27	0.01	0.09		
TrpR	0.0	0.0	0.06	0.1	0.08	0.05	0.01	0.01	0.01	0.01	0.12	0.12		
TtrR	0.0	0.03	0.2	0.14	0.03	0.12	0.01	0.0	0.02	0.0	0.0	0.12		
TyrR	0.03	0.01	0.09	0.01	0.01	0.1	0.15	0.01	0.0	0.0	0.05	0.01		
VanR	0.02	0.01	0.03	0.17	0.0	0.01	0.0	0.0	0.01	0.03	0.04	0.14		
XylR	0.1	0.0	0.1	0.06	0.01	0.13	0.01	0.0	0.07	0.21	0.02	0.19		
ZntR	0.03	0.05	0.03	0.06	0.0	0.07	0.16	0.09	0.02	0.05	0.04	0.15		
Zur	0.06	0.04	0.02	0.1	0.0	0.1	0.15	0.08	0.08	0.24	0.15	0.13		
