	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
FabR	0.16	0.17	0.15	0.06	0.08	0.12	0.12	0.04	0.12	0.14	0.13	0.08	0.44	0.01	0.01	0.0
FadP	0.06	0.03	0.05	0.01	0.02	0.01	0.0	0.01	0.01	0.0	0.03	0.19	0.01	0.0	0.09	0.08
FadR	0.08	0.06	0.24	0.01	0.03	0.13	0.09	0.01	0.06	0.02	0.03	0.13	0.06	0.01	0.12	0.15
FixJ	0.0	0.01	0.06	0.08	0.06	0.01	0.01	0.0	0.01	0.0	0.09	0.14	0.24	0.01	0.03	0.01
FnrN_FixK	0.0	0.01	0.04	0.01	0.06	0.0	0.0	0.0	0.01	0.03	0.1	0.03	0.32	0.0	0.1	0.02
FruR	0.08	0.05	0.08	0.0	0.0	0.04	0.05	0.01	0.01	0.01	0.01	0.22	0.14	0.0	0.27	0.14
GguR	0.04	0.08	0.14	0.02	0.02	0.02	0.3	0.08	0.19	0.08	0.06	0.0	0.4	0.02	0.01	0.01
GlcC	0.0	0.0	0.02	0.09	0.0	0.01	0.01	0.0	0.0	0.06	0.01	0.02	0.0	0.0	0.01	0.02
GntR	0.26	0.32	0.22	0.03	0.09	0.02	0.1	0.02	0.14	0.02	0.1	0.37	0.83	0.01	0.1	0.11
GulR	0.1	0.11	0.01	0.02	0.0	0.0	0.03	0.0	0.02	0.02	0.02	0.04	0.13	0.04	0.13	0.08
HcpR	0.05	0.04	0.01	0.0	0.03	0.03	0.0	0.01	0.0	0.03	0.1	0.0	0.42	0.02	0.0	0.01
HexR	0.01	0.03	0.0	0.04	0.0	0.07	0.03	0.03	0.02	0.03	0.02	0.02	0.03	0.01	0.01	0.0
HisR	0.05	0.02	0.0	0.0	0.01	0.0	0.0	0.02	0.02	0.0	0.0	0.1	0.04	0.02	0.04	0.0
HrcA	0.29	0.26	0.07	0.0	0.04	0.02	0.07	0.0	0.03	0.0	0.16	0.04	0.38	0.03	0.03	0.07
HutC	0.0	0.0	0.07	0.08	0.03	0.0	0.05	0.06	0.04	0.02	0.03	0.03	0.28	0.01	0.05	0.0
HypR	0.01	0.01	0.04	0.13	0.03	0.05	0.03	0.01	0.02	0.28	0.09	0.0	0.61	0.0	0.01	0.0
Irr	0.05	0.07	0.02	0.02	0.0	0.0	0.02	0.02	0.03	0.0	0.03	0.0	0.0	0.02	0.0	0.01
IscR	0.08	0.12	0.18	0.0	0.1	0.03	0.1	0.07	0.09	0.0	0.07	0.24	0.36	0.0	0.11	0.07
KdgR	0.28	0.22	0.17	0.0	0.08	0.06	0.03	0.0	0.02	0.0	0.11	0.4	0.39	0.0	0.09	0.16
LexA	0.01	0.0	0.02	0.02	0.03	0.05	0.03	0.02	0.05	0.01	0.07	0.01	0.43	0.02	0.02	0.05
LiuQ	0.12	0.08	0.0	0.04	0.0	0.01	0.0	0.03	0.0	0.02	0.03	0.02	0.04	0.01	0.03	0.03
LiuR	0.1	0.14	0.26	0.01	0.09	0.07	0.21	0.19	0.18	0.02	0.14	0.18	0.3	0.05	0.03	0.04
LldR	0.0	0.0	0.08	0.0	0.02	0.0	0.0	0.01	0.02	0.0	0.01	0.0	0.21	0.0	0.0	0.0
LtbR	0.03	0.01	0.09	0.0	0.12	0.0	0.0	0.0	0.0	0.01	0.15	0.09	0.89	0.01	0.05	0.07
MerR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.02	0.0	0.18	0.13	0.0	0.03	0.01
MetJ	0.0	0.0	0.06	0.04	0.03	0.0	0.01	0.02	0.0	0.0	0.0	0.12	0.2	0.0	0.02	0.13
MetR	0.21	0.2	0.21	0.0	0.11	0.09	0.07	0.02	0.04	0.0	0.14	0.29	0.41	0.0	0.15	0.17
MntR	0.1	0.09	0.14	0.0	0.07	0.02	0.04	0.0	0.02	0.0	0.07	0.34	0.31	0.0	0.2	0.11
ModE	0.0	0.0	0.04	0.01	0.0	0.0	0.03	0.02	0.02	0.03	0.0	0.09	0.01	0.0	0.04	0.0
NadQ	0.0	0.0	0.04	0.0	0.1	0.0	0.0	0.0	0.0	0.05	0.13	0.17	0.59	0.0	0.01	0.0
NagC	0.15	0.14	0.16	0.0	0.12	0.01	0.04	0.01	0.05	0.02	0.13	0.36	0.43	0.0	0.12	0.14
NagQ	0.04	0.05	0.0	0.04	0.01	0.0	0.02	0.0	0.02	0.03	0.05	0.0	0.4	0.03	0.02	0.0
NagR	0.03	0.03	0.02	0.04	0.06	0.0	0.05	0.08	0.02	0.02	0.07	0.04	0.92	0.03	0.01	0.01
NarP	0.06	0.08	0.01	0.02	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.01	0.04	0.01	0.0
NiaR	0.0	0.0	0.01	0.02	0.0	0.01	0.02	0.01	0.01	0.02	0.0	0.06	0.13	0.04	0.03	0.03
NifA	0.02	0.01	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.1	0.0	0.03	0.02	0.0	0.04	0.0
NikR	0.05	0.05	0.0	0.0	0.0	0.03	0.0	0.06	0.02	0.0	0.01	0.0	0.04	0.0	0.04	0.0
NmlR	0.01	0.01	0.02	0.0	0.02	0.0	0.02	0.01	0.03	0.0	0.03	0.08	0.09	0.01	0.0	0.01
NnrR	0.17	0.18	0.17	0.03	0.16	0.01	0.06	0.01	0.06	0.04	0.23	0.25	0.59	0.01	0.1	0.13
NorR	0.05	0.04	0.05	0.01	0.0	0.06	0.03	0.03	0.02	0.0	0.0	0.05	0.11	0.0	0.15	0.17
NrdR	0.01	0.01	0.04	0.04	0.06	0.0	0.0	0.08	0.03	0.01	0.09	0.1	0.34	0.03	0.01	0.01
NrtR	0.07	0.05	0.09	0.0	0.05	0.01	0.02	0.0	0.01	0.02	0.04	0.27	0.1	0.0	0.13	0.1
NsrR	0.03	0.03	0.15	0.0	0.09	0.01	0.05	0.04	0.05	0.0	0.07	0.27	0.25	0.01	0.09	0.04
NtrC	0.24	0.29	0.2	0.01	0.13	0.01	0.14	0.01	0.12	0.0	0.14	0.23	0.71	0.0	0.12	0.12
PaaR	0.0	0.01	0.01	0.01	0.03	0.04	0.03	0.02	0.01	0.01	0.06	0.03	0.14	0.05	0.0	0.0
PdhR	0.01	0.02	0.01	0.01	0.0	0.0	0.0	0.04	0.01	0.02	0.0	0.02	0.03	0.0	0.01	0.02
PdxR	0.09	0.06	0.13	0.0	0.13	0.01	0.03	0.0	0.03	0.04	0.23	0.15	0.51	0.0	0.06	0.02
PhnF	0.03	0.07	0.26	0.01	0.16	0.05	0.22	0.09	0.18	0.03	0.24	0.1	0.5	0.01	0.18	0.07
PhnR	0.03	0.02	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.03	0.0	0.0	0.13	0.0	0.03	0.0
Phr	0.02	0.01	0.07	0.01	0.06	0.0	0.03	0.01	0.02	0.03	0.04	0.22	0.08	0.01	0.08	0.07
PhrR	0.04	0.03	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.11	0.01	0.0	0.05	0.01
PhsR	0.07	0.08	0.05	0.0	0.01	0.01	0.05	0.0	0.03	0.0	0.0	0.07	0.01	0.01	0.0	0.05
PrpR	0.0	0.0	0.01	0.0	0.0	0.04	0.01	0.03	0.0	0.04	0.03	0.01	0.08	0.01	0.0	0.0
PsrA	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.06	0.08	0.0	0.14	0.02	0.01	0.07	0.01
PurR	0.0	0.01	0.1	0.01	0.07	0.01	0.03	0.01	0.03	0.01	0.08	0.08	0.35	0.0	0.03	0.01
QorR	0.06	0.09	0.0	0.01	0.0	0.01	0.0	0.01	0.02	0.0	0.0	0.0	0.01	0.03	0.01	0.03
RbkR	0.1	0.07	0.19	0.02	0.08	0.1	0.08	0.03	0.08	0.0	0.1	0.27	0.2	0.0	0.13	0.17
RbsR	0.0	0.01	0.07	0.0	0.05	0.0	0.08	0.13	0.05	0.01	0.05	0.16	0.14	0.02	0.01	0.0
Rex	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.02	0.01	0.15	0.0	0.0	0.04	0.02
RutR	0.04	0.04	0.0	0.0	0.02	0.01	0.01	0.04	0.01	0.04	0.03	0.0	0.2	0.01	0.0	0.0
SahR_SamR	0.12	0.14	0.21	0.01	0.11	0.03	0.07	0.01	0.07	0.0	0.13	0.33	0.29	0.0	0.22	0.17
SdaR	0.08	0.1	0.01	0.0	0.01	0.0	0.05	0.04	0.06	0.05	0.06	0.0	0.97	0.0	0.04	0.0
SiaR	0.04	0.08	0.12	0.01	0.09	0.0	0.01	0.04	0.04	0.0	0.11	0.02	0.57	0.01	0.01	0.02
SoxR	0.03	0.02	0.03	0.0	0.03	0.03	0.01	0.04	0.0	0.02	0.04	0.06	0.04	0.0	0.1	0.09
ThiR	0.13	0.11	0.2	0.0	0.13	0.04	0.03	0.0	0.04	0.01	0.14	0.36	0.33	0.0	0.23	0.21
TrpR	0.05	0.04	0.0	0.08	0.0	0.0	0.01	0.03	0.0	0.03	0.01	0.01	0.05	0.03	0.02	0.0
TtrR	0.09	0.1	0.06	0.07	0.05	0.04	0.07	0.0	0.01	0.03	0.15	0.09	0.51	0.02	0.0	0.0
TyrR	0.01	0.0	0.0	0.03	0.04	0.01	0.05	0.09	0.01	0.02	0.1	0.0	0.22	0.0	0.01	0.0
VanR	0.0	0.0	0.01	0.01	0.0	0.0	0.03	0.06	0.0	0.01	0.0	0.01	0.01	0.0	0.07	0.03
XylR	0.06	0.06	0.09	0.0	0.16	0.0	0.01	0.04	0.02	0.01	0.25	0.13	0.5	0.02	0.1	0.05
ZntR	0.02	0.04	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.0	0.01	0.0
Zur	0.06	0.05	0.1	0.01	0.05	0.02	0.01	0.01	0.03	0.03	0.01	0.29	0.07	0.0	0.13	0.12
