	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
FnrN_FixK	0.0	0.02	0.03	0.0	0.02	0.04	0.02	0.01	0.0	0.0	0.09	0.03	0.14	0.03	0.02	0.02
FruR	0.03	0.01	0.05	0.01	0.0	0.02	0.0	0.01	0.01	0.01	0.0	0.09	0.03	0.0	0.13	0.1
GguR	0.05	0.0	0.11	0.01	0.03	0.07	0.33	0.17	0.17	0.07	0.08	0.03	0.12	0.1	0.0	0.01
GlcC	0.0	0.04	0.01	0.07	0.0	0.0	0.0	0.0	0.02	0.03	0.03	0.07	0.01	0.0	0.0	0.01
GntR	0.21	0.06	0.19	0.01	0.07	0.03	0.05	0.03	0.11	0.0	0.09	0.15	0.08	0.0	0.03	0.12
GulR	0.06	0.03	0.02	0.02	0.0	0.0	0.01	0.0	0.02	0.01	0.0	0.04	0.03	0.02	0.01	0.03
HcpR	0.04	0.04	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.26	0.02	0.0	0.01
HexR	0.0	0.03	0.0	0.04	0.0	0.0	0.01	0.03	0.03	0.01	0.0	0.03	0.0	0.0	0.0	0.0
HisR	0.0	0.02	0.0	0.01	0.0	0.0	0.01	0.02	0.04	0.01	0.0	0.03	0.0	0.0	0.01	0.0
HrcA	0.2	0.04	0.08	0.01	0.01	0.02	0.03	0.0	0.02	0.01	0.08	0.05	0.05	0.0	0.0	0.02
HutC	0.01	0.0	0.03	0.02	0.02	0.0	0.0	0.01	0.02	0.01	0.02	0.01	0.04	0.02	0.0	0.01
HypR	0.02	0.0	0.02	0.1	0.02	0.0	0.01	0.01	0.01	0.23	0.01	0.0	0.2	0.0	0.01	0.0
Irr	0.04	0.0	0.04	0.02	0.0	0.0	0.02	0.0	0.03	0.0	0.03	0.03	0.0	0.0	0.0	0.01
IscR	0.05	0.02	0.11	0.0	0.04	0.01	0.02	0.02	0.06	0.01	0.06	0.08	0.07	0.0	0.02	0.05
KdgR	0.14	0.01	0.12	0.01	0.03	0.02	0.01	0.0	0.01	0.01	0.05	0.2	0.03	0.0	0.0	0.06
LexA	0.0	0.01	0.0	0.0	0.0	0.04	0.01	0.0	0.04	0.0	0.02	0.06	0.13	0.0	0.01	0.04
LiuQ	0.05	0.01	0.0	0.02	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.02	0.02
LiuR	0.04	0.03	0.17	0.0	0.06	0.03	0.04	0.08	0.14	0.0	0.09	0.04	0.12	0.0	0.01	0.06
LldR	0.01	0.0	0.07	0.0	0.02	0.02	0.0	0.0	0.0	0.0	0.04	0.02	0.06	0.0	0.01	0.01
LtbR	0.01	0.01	0.04	0.02	0.03	0.0	0.0	0.01	0.0	0.03	0.04	0.07	0.12	0.01	0.02	0.04
MerR	0.01	0.03	0.0	0.01	0.0	0.0	0.0	0.02	0.0	0.02	0.0	0.07	0.04	0.0	0.01	0.01
MetJ	0.0	0.0	0.08	0.02	0.03	0.04	0.0	0.04	0.01	0.0	0.01	0.03	0.03	0.01	0.01	0.08
MetR	0.08	0.0	0.13	0.0	0.04	0.04	0.02	0.01	0.02	0.0	0.06	0.13	0.06	0.0	0.03	0.09
MntR	0.04	0.0	0.07	0.0	0.02	0.01	0.0	0.0	0.01	0.0	0.04	0.13	0.04	0.0	0.02	0.04
ModE	0.0	0.0	0.02	0.0	0.0	0.0	0.01	0.01	0.02	0.01	0.0	0.01	0.0	0.0	0.01	0.0
NadQ	0.0	0.01	0.03	0.0	0.03	0.01	0.0	0.01	0.01	0.0	0.07	0.02	0.13	0.0	0.01	0.0
NagC	0.07	0.0	0.09	0.02	0.03	0.01	0.01	0.0	0.02	0.01	0.08	0.12	0.03	0.0	0.01	0.04
NagQ	0.02	0.01	0.0	0.01	0.0	0.0	0.03	0.01	0.03	0.02	0.02	0.0	0.02	0.0	0.0	0.0
NagR	0.04	0.02	0.02	0.02	0.07	0.0	0.03	0.05	0.03	0.0	0.02	0.02	0.26	0.01	0.0	0.01
NarP	0.06	0.12	0.0	0.03	0.0	0.03	0.02	0.02	0.0	0.01	0.02	0.0	0.01	0.06	0.02	0.0
NiaR	0.0	0.0	0.03	0.01	0.01	0.0	0.0	0.01	0.03	0.01	0.0	0.04	0.02	0.0	0.03	0.05
NifA	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.06	0.0	0.02	0.01	0.0	0.02	0.01
NikR	0.05	0.04	0.01	0.01	0.0	0.0	0.0	0.03	0.04	0.0	0.01	0.0	0.0	0.0	0.05	0.0
NmlR	0.01	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.04	0.04	0.0	0.01	0.01
NnrR	0.09	0.07	0.09	0.02	0.08	0.0	0.0	0.0	0.06	0.02	0.05	0.11	0.19	0.02	0.02	0.1
NorR	0.03	0.0	0.11	0.02	0.0	0.04	0.01	0.04	0.02	0.01	0.0	0.04	0.05	0.02	0.1	0.12
NrdR	0.01	0.01	0.04	0.02	0.07	0.0	0.03	0.02	0.01	0.0	0.03	0.02	0.11	0.05	0.0	0.01
NrtR	0.03	0.0	0.06	0.01	0.01	0.02	0.0	0.0	0.0	0.01	0.05	0.14	0.01	0.0	0.01	0.04
NsrR	0.01	0.0	0.07	0.0	0.03	0.01	0.01	0.01	0.02	0.0	0.05	0.07	0.06	0.0	0.0	0.02
NtrC	0.19	0.06	0.17	0.0	0.07	0.02	0.08	0.03	0.11	0.0	0.08	0.13	0.12	0.0	0.02	0.12
PaaR	0.02	0.0	0.01	0.02	0.02	0.0	0.03	0.0	0.0	0.01	0.01	0.08	0.02	0.0	0.0	0.0
PdhR	0.01	0.0	0.02	0.01	0.0	0.0	0.01	0.01	0.01	0.02	0.0	0.0	0.01	0.01	0.03	0.03
PdxR	0.02	0.0	0.05	0.0	0.06	0.02	0.05	0.01	0.04	0.02	0.12	0.06	0.24	0.01	0.02	0.02
PhnF	0.01	0.02	0.12	0.0	0.12	0.01	0.02	0.03	0.1	0.01	0.06	0.02	0.19	0.0	0.09	0.12
PhnR	0.02	0.05	0.0	0.01	0.0	0.01	0.0	0.02	0.01	0.01	0.0	0.02	0.0	0.0	0.0	0.01
Phr	0.01	0.01	0.06	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.05	0.08	0.02	0.0	0.01	0.04
PhrR	0.04	0.01	0.01	0.0	0.0	0.0	0.01	0.01	0.0	0.01	0.01	0.07	0.0	0.01	0.01	0.01
PhsR	0.07	0.03	0.01	0.02	0.01	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.04	0.01	0.0	0.01
PrpR	0.0	0.02	0.0	0.01	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.01	0.0
PsrA	0.01	0.01	0.01	0.04	0.0	0.0	0.03	0.01	0.05	0.07	0.0	0.05	0.01	0.01	0.01	0.0
PurR	0.0	0.0	0.09	0.02	0.07	0.02	0.02	0.04	0.05	0.04	0.1	0.05	0.07	0.0	0.0	0.02
QorR	0.07	0.02	0.03	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.01	0.0	0.01	0.0	0.01
RbkR	0.05	0.0	0.11	0.01	0.05	0.06	0.02	0.01	0.03	0.0	0.04	0.15	0.08	0.0	0.02	0.11
RbsR	0.0	0.0	0.03	0.0	0.02	0.01	0.01	0.05	0.04	0.0	0.07	0.05	0.07	0.0	0.0	0.01
Rex	0.0	0.0	0.01	0.01	0.01	0.0	0.02	0.01	0.0	0.0	0.01	0.07	0.02	0.0	0.0	0.03
RutR	0.01	0.06	0.0	0.0	0.01	0.01	0.02	0.0	0.0	0.0	0.03	0.0	0.05	0.02	0.01	0.0
SahR_SamR	0.04	0.0	0.12	0.0	0.04	0.01	0.01	0.0	0.04	0.0	0.06	0.13	0.04	0.0	0.04	0.07
SdaR	0.11	0.08	0.03	0.0	0.0	0.0	0.01	0.03	0.03	0.01	0.07	0.01	0.08	0.0	0.03	0.0
SiaR	0.07	0.0	0.14	0.0	0.06	0.01	0.04	0.05	0.05	0.01	0.14	0.07	0.16	0.0	0.0	0.04
SoxR	0.01	0.0	0.0	0.02	0.01	0.01	0.01	0.04	0.01	0.04	0.0	0.01	0.03	0.0	0.08	0.04
ThiR	0.05	0.0	0.08	0.01	0.04	0.02	0.01	0.0	0.02	0.01	0.05	0.12	0.08	0.0	0.05	0.09
TrpR	0.04	0.04	0.0	0.03	0.0	0.0	0.0	0.01	0.01	0.04	0.0	0.01	0.0	0.01	0.0	0.0
TtrR	0.06	0.08	0.02	0.04	0.02	0.0	0.0	0.0	0.01	0.02	0.02	0.04	0.17	0.0	0.0	0.0
TyrR	0.01	0.04	0.0	0.01	0.03	0.01	0.02	0.02	0.0	0.02	0.04	0.04	0.14	0.02	0.0	0.0
VanR	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.04	0.0	0.0	0.0	0.02	0.01	0.01	0.02	0.0
XylR	0.01	0.0	0.02	0.01	0.05	0.0	0.0	0.01	0.01	0.02	0.04	0.03	0.14	0.01	0.01	0.01
ZntR	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.08	0.0	0.0	0.0	0.01
Zur	0.02	0.0	0.05	0.02	0.03	0.01	0.0	0.0	0.02	0.03	0.0	0.09	0.03	0.01	0.05	0.1
