	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
HisR	0.02	0.03	0.22	0.2	0.02	0.0	0.03	0.0	0.02	0.0	0.0	0.0	0.01	0.0		
HrcA	0.09	0.01	0.05	0.17	0.01	0.03	0.02	0.0	0.01	0.09	0.04	0.22	0.0	0.0		
HutC	0.04	0.06	0.04	0.09	0.0	0.28	0.07	0.03	0.22	0.2	0.09	0.28	0.0	0.01		
HypR	0.04	0.13	0.01	0.11	0.08	0.11	0.1	0.04	0.09	0.0	0.14	0.21	0.19	0.09		
Irr	0.33	0.07	0.05	0.04	0.07	0.17	0.01	0.0	0.01	0.18	0.03	0.06	0.01	0.01		
IscR	0.08	0.07	0.1	0.08	0.1	0.1	0.06	0.02	0.0	0.11	0.01	0.1	0.07	0.02		
KdgR	0.23	0.04	0.07	0.05	0.05	0.17	0.04	0.01	0.09	0.27	0.05	0.16	0.01	0.0		
LexA	0.21	0.09	0.02	0.0	0.2	0.01	0.03	0.01	0.02	0.1	0.29	0.0	0.2	0.04		
LiuQ	0.14	0.11	0.0	0.06	0.01	0.12	0.21	0.17	0.22	0.21	0.04	0.0	0.0	0.07		
LiuR	0.26	0.42	0.08	0.13	0.22	0.25	0.19	0.12	0.07	0.27	0.01	0.11	0.13	0.06		
LldR	0.03	0.02	0.04	0.04	0.05	0.1	0.23	0.11	0.07	0.08	0.0	0.07	0.02	0.11		
LtbR	0.03	0.03	0.21	0.01	0.01	0.03	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.01		
MerR	0.16	0.02	0.05	0.05	0.07	0.27	0.0	0.01	0.09	0.25	0.0	0.28	0.08	0.02		
MetJ	0.05	0.0	0.0	0.09	0.06	0.01	0.02	0.0	0.0	0.03	0.09	0.02	0.13	0.01		
MetR	0.3	0.2	0.07	0.2	0.14	0.16	0.06	0.02	0.03	0.29	0.02	0.15	0.08	0.02		
MntR	0.15	0.05	0.1	0.07	0.12	0.26	0.02	0.03	0.12	0.31	0.01	0.18	0.08	0.01		
ModE	0.32	0.09	0.13	0.04	0.13	0.21	0.0	0.0	0.1	0.22	0.01	0.16	0.21	0.01		
NadQ	0.26	0.19	0.05	0.12	0.13	0.2	0.03	0.01	0.05	0.25	0.0	0.11	0.09	0.01		
NagC	0.26	0.1	0.06	0.11	0.08	0.2	0.09	0.04	0.09	0.34	0.03	0.12	0.03	0.03		
NagQ	0.0	0.0	0.0	0.02	0.07	0.0	0.04	0.02	0.06	0.03	0.05	0.07	0.03	0.04		
NagR	0.07	0.25	0.09	0.06	0.05	0.04	0.13	0.03	0.05	0.07	0.0	0.03	0.06	0.01		
NarP	0.06	0.02	0.03	0.02	0.02	0.09	0.0	0.03	0.0	0.02	0.01	0.0	0.0	0.01		
NiaR	0.0	0.0	0.0	0.02	0.03	0.03	0.0	0.01	0.1	0.01	0.03	0.0	0.03	0.0		
NifA	0.12	0.07	0.03	0.23	0.01	0.19	0.0	0.05	0.01	0.05	0.01	0.07	0.0	0.08		
NikR	0.01	0.1	0.0	0.06	0.0	0.0	0.02	0.12	0.0	0.0	0.0	0.0	0.0	0.1		
NmlR	0.02	0.02	0.02	0.07	0.0	0.13	0.0	0.01	0.1	0.02	0.04	0.25	0.02	0.03		
NnrR	0.19	0.28	0.02	0.16	0.04	0.19	0.03	0.0	0.02	0.15	0.02	0.22	0.03	0.0		
NorR	0.02	0.02	0.06	0.04	0.23	0.07	0.03	0.0	0.01	0.01	0.19	0.07	0.21	0.01		
NrdR	0.03	0.0	0.17	0.0	0.17	0.11	0.1	0.13	0.14	0.12	0.04	0.06	0.12	0.07		
NrtR	0.22	0.05	0.07	0.06	0.1	0.23	0.0	0.0	0.1	0.25	0.02	0.31	0.05	0.01		
NsrR	0.27	0.13	0.06	0.08	0.08	0.2	0.04	0.01	0.07	0.29	0.05	0.23	0.02	0.0		
NtrC	0.17	0.34	0.06	0.14	0.05	0.13	0.22	0.16	0.05	0.29	0.07	0.08	0.01	0.14		
PaaR	0.01	0.0	0.2	0.0	0.03	0.05	0.13	0.17	0.07	0.17	0.08	0.19	0.0	0.1		
PdhR	0.12	0.0	0.01	0.01	0.01	0.14	0.01	0.03	0.01	0.05	0.06	0.0	0.0	0.0		
PdxR	0.2	0.06	0.01	0.3	0.05	0.09	0.02	0.01	0.12	0.22	0.0	0.03	0.03	0.0		
PhnF	0.12	0.12	0.02	0.31	0.01	0.13	0.09	0.02	0.07	0.05	0.0	0.03	0.0	0.0		
PhnR	0.1	0.01	0.13	0.05	0.09	0.27	0.03	0.05	0.16	0.2	0.01	0.05	0.03	0.01		
Phr	0.15	0.04	0.03	0.06	0.08	0.22	0.0	0.0	0.07	0.24	0.06	0.22	0.07	0.0		
PhrR	0.02	0.01	0.0	0.01	0.01	0.01	0.02	0.0	0.0	0.03	0.02	0.06	0.0	0.03		
PhsR	0.01	0.04	0.01	0.0	0.02	0.01	0.0	0.0	0.02	0.01	0.08	0.0	0.03	0.01		
PrpR	0.04	0.0	0.04	0.01	0.01	0.12	0.02	0.06	0.01	0.02	0.05	0.01	0.04	0.02		
PsrA	0.03	0.19	0.11	0.03	0.0	0.0	0.04	0.02	0.0	0.03	0.1	0.02	0.0	0.02		
PurR	0.19	0.26	0.04	0.1	0.08	0.3	0.02	0.0	0.23	0.27	0.05	0.18	0.04	0.03		
QorR	0.06	0.03	0.03	0.03	0.02	0.03	0.1	0.04	0.0	0.0	0.04	0.01	0.05	0.07		
RbkR	0.31	0.2	0.01	0.16	0.09	0.2	0.03	0.02	0.1	0.4	0.0	0.07	0.05	0.0		
RbsR	0.21	0.1	0.04	0.03	0.08	0.15	0.01	0.02	0.03	0.13	0.0	0.12	0.09	0.05		
Rex	0.0	0.01	0.07	0.06	0.01	0.05	0.13	0.04	0.03	0.09	0.14	0.13	0.06	0.05		
RutR	0.18	0.09	0.0	0.0	0.17	0.09	0.06	0.03	0.01	0.01	0.09	0.02	0.07	0.04		
SahR_SamR	0.3	0.23	0.07	0.12	0.16	0.29	0.09	0.05	0.15	0.41	0.02	0.26	0.07	0.02		
SdaR	0.01	0.01	0.09	0.14	0.01	0.0	0.0	0.04	0.0	0.0	0.0	0.01	0.01	0.05		
SiaR	0.29	0.07	0.02	0.1	0.05	0.3	0.03	0.01	0.19	0.38	0.0	0.02	0.0	0.0		
SoxR	0.23	0.35	0.0	0.01	0.12	0.0	0.03	0.03	0.0	0.15	0.03	0.17	0.03	0.05		
ThiR	0.19	0.09	0.09	0.13	0.15	0.21	0.13	0.08	0.16	0.33	0.0	0.11	0.11	0.06		
TrpR	0.03	0.04	0.15	0.05	0.08	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.03	0.0		
TtrR	0.01	0.09	0.11	0.1	0.04	0.14	0.0	0.01	0.07	0.0	0.0	0.09	0.07	0.02		
TyrR	0.0	0.02	0.19	0.08	0.0	0.03	0.2	0.01	0.02	0.03	0.02	0.02	0.0	0.05		
VanR	0.01	0.0	0.02	0.23	0.01	0.06	0.05	0.01	0.01	0.0	0.05	0.09	0.02	0.01		
XylR	0.05	0.0	0.04	0.03	0.0	0.08	0.0	0.02	0.01	0.09	0.05	0.14	0.0	0.02		
ZntR	0.04	0.0	0.0	0.03	0.01	0.08	0.08	0.03	0.0	0.01	0.14	0.18	0.04	0.05		
Zur	0.16	0.11	0.07	0.16	0.08	0.14	0.13	0.08	0.09	0.4	0.02	0.13	0.06	0.06		
