	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
FUR	0.46	0.18	0.01	0.03	0.03	0.01	0.53	0.24	0.0	0.0	0.03	0.12	0.06	0.3	0.03	0.06
FabR	0.16	0.0	0.04	0.01	0.02	0.0	0.12	0.03	0.04	0.0	0.03	0.03	0.08	0.06	0.0	0.01
FadP	0.23	0.16	0.01	0.01	0.02	0.01	0.36	0.15	0.02	0.0	0.01	0.04	0.01	0.18	0.02	0.04
FadR	0.33	0.08	0.07	0.0	0.02	0.02	0.37	0.16	0.02	0.01	0.04	0.08	0.04	0.15	0.03	0.09
FixJ	0.21	0.09	0.01	0.07	0.0	0.0	0.3	0.16	0.0	0.0	0.02	0.01	0.0	0.21	0.0	0.0
FnrN_FixK	0.07	0.38	0.01	0.02	0.01	0.11	0.19	0.27	0.01	0.02	0.05	0.0	0.01	0.27	0.01	0.0
FruR	0.29	0.15	0.0	0.03	0.0	0.05	0.36	0.14	0.0	0.0	0.0	0.08	0.03	0.21	0.11	0.08
GguR	0.21	0.15	0.0	0.01	0.01	0.05	0.32	0.26	0.03	0.04	0.05	0.01	0.04	0.15	0.0	0.0
GlcC	0.3	0.12	0.02	0.0	0.01	0.01	0.33	0.22	0.01	0.01	0.01	0.03	0.05	0.19	0.04	0.03
GntR	0.44	0.09	0.03	0.05	0.03	0.02	0.41	0.22	0.01	0.0	0.01	0.1	0.01	0.23	0.06	0.17
GulR	0.43	0.08	0.0	0.05	0.0	0.0	0.42	0.16	0.0	0.01	0.0	0.04	0.01	0.14	0.03	0.04
HcpR	0.02	0.27	0.02	0.03	0.01	0.04	0.14	0.17	0.0	0.01	0.03	0.0	0.01	0.19	0.01	0.0
HexR	0.11	0.17	0.07	0.0	0.0	0.01	0.17	0.04	0.05	0.01	0.0	0.0	0.01	0.1	0.0	0.0
HisR	0.03	0.04	0.02	0.0	0.0	0.01	0.03	0.0	0.06	0.01	0.0	0.01	0.01	0.01	0.0	0.01
HrcA	0.3	0.01	0.03	0.0	0.02	0.0	0.19	0.07	0.0	0.0	0.07	0.05	0.1	0.08	0.0	0.04
HutC	0.16	0.15	0.0	0.07	0.05	0.03	0.17	0.19	0.01	0.03	0.07	0.01	0.06	0.18	0.0	0.03
HypR	0.01	0.02	0.02	0.03	0.01	0.0	0.03	0.01	0.01	0.14	0.0	0.02	0.13	0.02	0.0	0.0
Irr	0.34	0.31	0.0	0.01	0.0	0.06	0.4	0.33	0.01	0.0	0.07	0.06	0.0	0.44	0.0	0.01
IscR	0.07	0.01	0.05	0.0	0.05	0.01	0.1	0.03	0.03	0.01	0.05	0.05	0.11	0.03	0.04	0.06
KdgR	0.51	0.2	0.0	0.02	0.02	0.02	0.52	0.24	0.0	0.0	0.03	0.17	0.01	0.28	0.0	0.06
LexA	0.32	0.15	0.0	0.06	0.01	0.02	0.37	0.17	0.05	0.02	0.04	0.01	0.07	0.14	0.0	0.02
LiuQ	0.08	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.06	0.08	0.01	0.0	0.01
LiuR	0.3	0.15	0.04	0.04	0.04	0.03	0.4	0.28	0.07	0.01	0.07	0.02	0.07	0.25	0.01	0.05
LldR	0.05	0.02	0.01	0.03	0.0	0.02	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.01	0.01
LtbR	0.02	0.0	0.0	0.04	0.0	0.0	0.03	0.01	0.0	0.08	0.0	0.0	0.0	0.0	0.01	0.03
MerR	0.27	0.22	0.01	0.02	0.0	0.02	0.43	0.2	0.0	0.01	0.0	0.06	0.03	0.24	0.01	0.01
MetJ	0.03	0.0	0.14	0.01	0.02	0.0	0.03	0.03	0.0	0.0	0.02	0.04	0.03	0.03	0.0	0.04
MetR	0.38	0.14	0.02	0.03	0.05	0.04	0.41	0.25	0.0	0.0	0.09	0.1	0.06	0.24	0.05	0.12
MntR	0.38	0.25	0.0	0.03	0.02	0.03	0.49	0.29	0.0	0.0	0.03	0.09	0.01	0.39	0.04	0.04
ModE	0.22	0.16	0.0	0.04	0.0	0.0	0.35	0.2	0.0	0.01	0.0	0.01	0.01	0.21	0.01	0.01
NadQ	0.34	0.18	0.0	0.04	0.01	0.04	0.48	0.29	0.0	0.0	0.07	0.02	0.01	0.27	0.0	0.01
NagC	0.39	0.17	0.01	0.01	0.02	0.01	0.47	0.21	0.0	0.0	0.07	0.1	0.02	0.28	0.01	0.05
NagQ	0.03	0.03	0.01	0.0	0.02	0.0	0.06	0.05	0.02	0.0	0.01	0.0	0.07	0.09	0.01	0.0
NagR	0.04	0.0	0.01	0.01	0.03	0.03	0.02	0.0	0.02	0.0	0.04	0.01	0.27	0.02	0.01	0.0
NarP	0.05	0.04	0.0	0.01	0.0	0.07	0.0	0.06	0.0	0.0	0.05	0.0	0.01	0.04	0.03	0.0
NiaR	0.0	0.01	0.0	0.02	0.0	0.0	0.01	0.0	0.02	0.01	0.0	0.0	0.03	0.0	0.01	0.02
NifA	0.24	0.13	0.0	0.02	0.0	0.03	0.31	0.13	0.0	0.01	0.01	0.07	0.0	0.14	0.06	0.02
NikR	0.01	0.11	0.06	0.01	0.0	0.02	0.05	0.02	0.07	0.0	0.0	0.0	0.01	0.06	0.01	0.0
NmlR	0.17	0.21	0.0	0.02	0.01	0.04	0.24	0.18	0.02	0.02	0.01	0.04	0.01	0.15	0.0	0.0
NnrR	0.38	0.18	0.0	0.02	0.09	0.01	0.49	0.3	0.02	0.0	0.05	0.08	0.15	0.31	0.0	0.05
NorR	0.0	0.01	0.05	0.0	0.0	0.06	0.0	0.01	0.0	0.0	0.0	0.02	0.06	0.01	0.16	0.13
NrdR	0.02	0.07	0.0	0.0	0.01	0.02	0.09	0.09	0.0	0.0	0.0	0.0	0.04	0.1	0.0	0.0
NrtR	0.41	0.25	0.0	0.02	0.02	0.04	0.52	0.3	0.0	0.0	0.05	0.11	0.01	0.36	0.01	0.04
NsrR	0.34	0.27	0.0	0.02	0.02	0.03	0.5	0.31	0.0	0.0	0.03	0.04	0.02	0.36	0.01	0.02
NtrC	0.42	0.07	0.06	0.02	0.05	0.0	0.41	0.18	0.03	0.01	0.06	0.1	0.13	0.17	0.0	0.08
PaaR	0.28	0.2	0.01	0.01	0.01	0.01	0.42	0.23	0.0	0.0	0.0	0.04	0.0	0.25	0.0	0.01
PdhR	0.0	0.01	0.0	0.0	0.03	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.03	0.0	0.02	0.08
PdxR	0.21	0.2	0.02	0.01	0.04	0.03	0.32	0.22	0.01	0.0	0.1	0.02	0.08	0.24	0.01	0.01
PhnF	0.27	0.24	0.02	0.03	0.05	0.1	0.38	0.31	0.05	0.02	0.08	0.03	0.02	0.36	0.08	0.12
PhnR	0.09	0.21	0.07	0.0	0.0	0.0	0.18	0.07	0.04	0.0	0.0	0.04	0.03	0.14	0.0	0.02
Phr	0.33	0.22	0.0	0.02	0.01	0.03	0.53	0.27	0.0	0.0	0.03	0.04	0.0	0.3	0.02	0.04
PhrR	0.2	0.12	0.01	0.0	0.0	0.03	0.16	0.12	0.0	0.0	0.01	0.03	0.0	0.11	0.01	0.02
PhsR	0.07	0.0	0.0	0.0	0.01	0.0	0.06	0.01	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.01
PrpR	0.1	0.07	0.01	0.01	0.0	0.0	0.2	0.11	0.0	0.02	0.0	0.02	0.0	0.11	0.01	0.03
PsrA	0.02	0.0	0.0	0.01	0.0	0.01	0.03	0.0	0.05	0.05	0.0	0.12	0.0	0.01	0.01	0.01
PurR	0.19	0.04	0.01	0.09	0.03	0.0	0.26	0.14	0.01	0.01	0.05	0.0	0.05	0.12	0.01	0.01
QorR	0.24	0.04	0.0	0.0	0.0	0.0	0.15	0.11	0.01	0.01	0.02	0.01	0.0	0.1	0.0	0.01
RbkR	0.28	0.21	0.0	0.01	0.04	0.06	0.4	0.19	0.01	0.0	0.01	0.08	0.03	0.18	0.05	0.09
RbsR	0.14	0.15	0.0	0.01	0.01	0.03	0.32	0.25	0.0	0.0	0.1	0.01	0.01	0.24	0.0	0.0
Rex	0.0	0.02	0.0	0.0	0.01	0.01	0.02	0.0	0.0	0.02	0.01	0.01	0.03	0.01	0.0	0.02
RutR	0.03	0.15	0.07	0.0	0.0	0.08	0.12	0.05	0.02	0.02	0.0	0.01	0.01	0.08	0.0	0.0
SahR_SamR	0.4	0.21	0.01	0.06	0.03	0.03	0.5	0.3	0.0	0.0	0.03	0.09	0.01	0.32	0.05	0.1
SdaR	0.0	0.02	0.04	0.0	0.0	0.01	0.04	0.01	0.02	0.0	0.03	0.01	0.0	0.01	0.0	0.02
SiaR	0.25	0.05	0.05	0.02	0.02	0.01	0.24	0.16	0.02	0.01	0.11	0.03	0.06	0.12	0.0	0.05
SoxR	0.05	0.01	0.0	0.0	0.0	0.0	0.05	0.03	0.01	0.02	0.0	0.0	0.03	0.03	0.02	0.04
ThiR	0.43	0.18	0.0	0.01	0.04	0.03	0.47	0.24	0.0	0.0	0.03	0.08	0.05	0.29	0.05	0.11
TrpR	0.04	0.16	0.0	0.08	0.0	0.06	0.19	0.18	0.0	0.04	0.0	0.01	0.0	0.2	0.01	0.0
TtrR	0.02	0.16	0.05	0.01	0.03	0.03	0.08	0.08	0.0	0.02	0.0	0.06	0.11	0.12	0.0	0.0
TyrR	0.02	0.07	0.04	0.02	0.03	0.01	0.11	0.02	0.01	0.0	0.07	0.01	0.11	0.01	0.0	0.0
VanR	0.06	0.04	0.01	0.0	0.04	0.0	0.07	0.12	0.0	0.02	0.01	0.02	0.17	0.16	0.01	0.0
XylR	0.29	0.18	0.0	0.0	0.05	0.05	0.33	0.14	0.0	0.0	0.05	0.03	0.05	0.18	0.01	0.05
ZntR	0.07	0.11	0.03	0.07	0.01	0.01	0.18	0.08	0.0	0.0	0.03	0.0	0.03	0.11	0.0	0.0
Zur	0.32	0.13	0.0	0.02	0.02	0.03	0.39	0.14	0.0	0.0	0.0	0.06	0.01	0.15	0.08	0.12
