	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
FruR	0.09	0.07	0.05	0.0	0.0	0.03	0.07	0.01	0.0	0.01	0.02	0.18	0.07	0.0	0.27	0.11
GguR	0.01	0.02	0.03	0.01	0.01	0.0	0.07	0.02	0.07	0.01	0.05	0.0	0.6	0.0	0.0	0.0
GlcC	0.01	0.0	0.01	0.14	0.0	0.0	0.09	0.01	0.01	0.01	0.0	0.0	0.05	0.0	0.01	0.02
GntR	0.17	0.19	0.14	0.02	0.04	0.03	0.05	0.0	0.07	0.0	0.03	0.31	0.2	0.0	0.14	0.18
GulR	0.12	0.11	0.04	0.0	0.0	0.02	0.08	0.0	0.02	0.0	0.01	0.08	0.09	0.0	0.12	0.08
HcpR	0.04	0.03	0.0	0.02	0.02	0.03	0.01	0.0	0.0	0.01	0.04	0.01	0.23	0.0	0.02	0.0
HexR	0.0	0.02	0.01	0.07	0.01	0.09	0.07	0.11	0.03	0.05	0.02	0.02	0.02	0.04	0.01	0.0
HisR	0.0	0.0	0.0	0.0	0.01	0.04	0.05	0.04	0.03	0.01	0.02	0.04	0.29	0.01	0.0	0.0
HrcA	0.22	0.19	0.04	0.04	0.04	0.0	0.02	0.02	0.01	0.02	0.17	0.02	0.57	0.05	0.03	0.06
HutC	0.02	0.03	0.11	0.13	0.09	0.01	0.01	0.05	0.02	0.05	0.15	0.06	0.6	0.01	0.02	0.01
HypR	0.02	0.02	0.03	0.09	0.01	0.02	0.06	0.0	0.01	0.29	0.03	0.0	0.61	0.0	0.0	0.01
Irr	0.19	0.19	0.11	0.0	0.04	0.01	0.03	0.04	0.04	0.01	0.02	0.14	0.73	0.01	0.01	0.03
IscR	0.02	0.05	0.12	0.0	0.1	0.0	0.02	0.03	0.04	0.01	0.1	0.13	0.5	0.0	0.13	0.06
KdgR	0.27	0.22	0.16	0.0	0.07	0.06	0.03	0.0	0.02	0.0	0.11	0.38	0.41	0.0	0.09	0.16
LexA	0.01	0.06	0.05	0.02	0.07	0.03	0.07	0.02	0.14	0.03	0.09	0.0	0.29	0.0	0.0	0.01
LiuQ	0.22	0.17	0.0	0.04	0.0	0.02	0.0	0.07	0.0	0.01	0.0	0.04	0.07	0.06	0.02	0.04
LiuR	0.12	0.14	0.32	0.0	0.13	0.07	0.19	0.14	0.23	0.02	0.13	0.2	0.25	0.01	0.02	0.07
LldR	0.03	0.04	0.0	0.02	0.0	0.03	0.04	0.07	0.02	0.02	0.01	0.01	0.05	0.0	0.01	0.05
LtbR	0.01	0.02	0.0	0.03	0.0	0.02	0.01	0.05	0.0	0.06	0.0	0.01	0.11	0.01	0.01	0.02
MerR	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.03	0.0	0.03	0.02	0.16	0.02	0.0	0.04	0.01
MetJ	0.03	0.03	0.08	0.02	0.02	0.01	0.01	0.0	0.0	0.0	0.01	0.04	0.13	0.02	0.0	0.03
MetR	0.16	0.16	0.24	0.01	0.13	0.09	0.07	0.05	0.05	0.01	0.2	0.28	0.4	0.0	0.15	0.2
MntR	0.09	0.08	0.14	0.0	0.09	0.01	0.04	0.01	0.02	0.01	0.09	0.29	0.3	0.0	0.22	0.11
ModE	0.0	0.0	0.03	0.01	0.0	0.01	0.02	0.01	0.0	0.03	0.0	0.08	0.02	0.0	0.04	0.01
NadQ	0.01	0.02	0.02	0.0	0.07	0.01	0.0	0.01	0.01	0.04	0.19	0.1	0.63	0.0	0.02	0.0
NagC	0.15	0.14	0.16	0.0	0.11	0.01	0.03	0.0	0.04	0.02	0.12	0.37	0.35	0.0	0.15	0.15
NagQ	0.01	0.02	0.02	0.0	0.03	0.0	0.04	0.0	0.02	0.0	0.15	0.0	0.47	0.01	0.0	0.0
NagR	0.02	0.02	0.01	0.07	0.04	0.01	0.02	0.12	0.02	0.02	0.11	0.0	0.77	0.06	0.01	0.0
NarP	0.06	0.05	0.02	0.06	0.03	0.0	0.0	0.07	0.0	0.01	0.03	0.05	0.02	0.05	0.04	0.0
NiaR	0.06	0.04	0.0	0.02	0.0	0.0	0.01	0.04	0.02	0.03	0.0	0.0	0.46	0.04	0.0	0.0
NifA	0.03	0.03	0.01	0.0	0.01	0.01	0.02	0.0	0.01	0.05	0.01	0.12	0.0	0.0	0.13	0.02
NikR	0.05	0.07	0.0	0.0	0.0	0.03	0.03	0.11	0.05	0.0	0.0	0.0	0.03	0.0	0.01	0.0
NmlR	0.01	0.01	0.03	0.0	0.03	0.01	0.03	0.09	0.05	0.0	0.07	0.08	0.13	0.05	0.0	0.0
NnrR	0.07	0.07	0.16	0.01	0.21	0.01	0.05	0.06	0.07	0.05	0.34	0.17	0.64	0.0	0.04	0.06
NorR	0.02	0.0	0.04	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.02	0.02	0.04	0.0	0.21	0.22
NrdR	0.01	0.0	0.0	0.02	0.0	0.09	0.02	0.04	0.01	0.01	0.01	0.0	0.15	0.11	0.0	0.0
NrtR	0.06	0.04	0.1	0.0	0.1	0.01	0.02	0.0	0.0	0.02	0.12	0.28	0.2	0.01	0.11	0.07
NsrR	0.02	0.02	0.13	0.0	0.1	0.01	0.06	0.04	0.05	0.01	0.08	0.24	0.33	0.01	0.09	0.05
NtrC	0.22	0.26	0.18	0.0	0.11	0.03	0.09	0.02	0.1	0.0	0.11	0.2	0.75	0.0	0.04	0.09
PaaR	0.0	0.0	0.0	0.02	0.02	0.05	0.0	0.02	0.01	0.02	0.04	0.02	0.12	0.09	0.01	0.01
PdhR	0.0	0.0	0.02	0.01	0.01	0.02	0.05	0.15	0.02	0.0	0.03	0.0	0.0	0.0	0.01	0.04
PdxR	0.02	0.01	0.05	0.01	0.1	0.01	0.0	0.0	0.02	0.0	0.14	0.07	0.44	0.01	0.01	0.01
PhnF	0.08	0.1	0.23	0.01	0.07	0.07	0.25	0.02	0.19	0.04	0.15	0.04	0.26	0.01	0.18	0.12
PhnR	0.01	0.01	0.02	0.01	0.0	0.02	0.07	0.03	0.03	0.03	0.0	0.01	0.3	0.02	0.01	0.0
Phr	0.0	0.0	0.04	0.0	0.04	0.0	0.02	0.01	0.02	0.07	0.02	0.14	0.05	0.01	0.08	0.04
PhrR	0.08	0.04	0.01	0.0	0.01	0.01	0.02	0.01	0.0	0.0	0.0	0.13	0.05	0.0	0.05	0.01
PhsR	0.04	0.06	0.07	0.0	0.02	0.01	0.06	0.02	0.05	0.0	0.02	0.06	0.02	0.0	0.0	0.03
PrpR	0.05	0.03	0.05	0.0	0.0	0.07	0.03	0.02	0.01	0.03	0.02	0.0	0.0	0.0	0.05	0.11
PsrA	0.01	0.0	0.01	0.0	0.02	0.0	0.01	0.01	0.05	0.04	0.02	0.2	0.01	0.0	0.06	0.05
PurR	0.0	0.01	0.02	0.03	0.04	0.0	0.0	0.0	0.02	0.0	0.02	0.04	0.42	0.01	0.02	0.0
QorR	0.04	0.03	0.0	0.02	0.0	0.01	0.03	0.03	0.0	0.06	0.01	0.0	0.05	0.06	0.0	0.05
RbkR	0.05	0.05	0.13	0.01	0.09	0.03	0.06	0.02	0.07	0.02	0.1	0.23	0.28	0.0	0.22	0.11
RbsR	0.0	0.0	0.03	0.01	0.03	0.01	0.09	0.08	0.02	0.03	0.06	0.04	0.12	0.0	0.0	0.0
Rex	0.0	0.0	0.05	0.0	0.03	0.0	0.01	0.0	0.01	0.02	0.04	0.12	0.11	0.0	0.02	0.03
RutR	0.02	0.02	0.03	0.01	0.0	0.01	0.04	0.03	0.03	0.11	0.0	0.0	0.0	0.0	0.0	0.0
SahR_SamR	0.08	0.1	0.22	0.03	0.09	0.04	0.09	0.02	0.07	0.0	0.12	0.27	0.15	0.0	0.24	0.21
SdaR	0.07	0.07	0.05	0.01	0.0	0.06	0.04	0.0	0.05	0.07	0.01	0.0	0.19	0.03	0.0	0.02
SiaR	0.03	0.05	0.08	0.01	0.03	0.0	0.03	0.06	0.06	0.01	0.05	0.0	0.37	0.01	0.01	0.02
SoxR	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.02	0.0	0.0	0.23	0.0	0.02	0.06
ThiR	0.14	0.11	0.18	0.0	0.11	0.03	0.02	0.0	0.03	0.01	0.12	0.32	0.4	0.0	0.2	0.2
TrpR	0.06	0.04	0.01	0.1	0.0	0.0	0.03	0.04	0.0	0.02	0.0	0.04	0.0	0.06	0.05	0.0
TtrR	0.01	0.01	0.04	0.07	0.04	0.09	0.04	0.04	0.0	0.04	0.05	0.06	0.35	0.04	0.0	0.0
TyrR	0.01	0.0	0.01	0.02	0.03	0.0	0.03	0.0	0.0	0.0	0.09	0.0	0.32	0.0	0.02	0.01
VanR	0.0	0.0	0.0	0.02	0.05	0.0	0.04	0.04	0.0	0.09	0.15	0.0	0.75	0.0	0.03	0.02
XylR	0.11	0.1	0.08	0.02	0.14	0.0	0.0	0.04	0.01	0.02	0.25	0.1	0.47	0.04	0.09	0.09
ZntR	0.01	0.0	0.01	0.1	0.0	0.01	0.02	0.02	0.0	0.0	0.0	0.0	0.16	0.0	0.02	0.0
Zur	0.06	0.05	0.13	0.0	0.04	0.03	0.02	0.0	0.03	0.01	0.01	0.25	0.02	0.0	0.16	0.15
