	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
MerR	0.14	0.06	0.01	0.03	0.1	0.09	0.03	0.07	0.11	0.22	0.01	0.23		
MetJ	0.02	0.0	0.0	0.03	0.05	0.01	0.0	0.0	0.0	0.0	0.2	0.0		
MetR	0.32	0.44	0.03	0.18	0.25	0.12	0.03	0.0	0.08	0.33	0.01	0.09		
MntR	0.12	0.06	0.06	0.07	0.15	0.14	0.0	0.0	0.14	0.3	0.0	0.17		
ModE	0.15	0.06	0.06	0.0	0.23	0.08	0.07	0.01	0.08	0.13	0.08	0.24		
NadQ	0.26	0.28	0.06	0.12	0.2	0.14	0.04	0.01	0.17	0.42	0.02	0.12		
NagC	0.22	0.05	0.04	0.08	0.13	0.15	0.0	0.0	0.09	0.31	0.0	0.17		
NagQ	0.12	0.01	0.0	0.0	0.01	0.06	0.02	0.0	0.01	0.0	0.06	0.02		
NagR	0.06	0.22	0.0	0.07	0.02	0.0	0.14	0.07	0.1	0.08	0.02	0.05		
NarP	0.16	0.03	0.0	0.0	0.0	0.07	0.01	0.0	0.0	0.0	0.01	0.02		
NiaR	0.0	0.01	0.01	0.0	0.03	0.08	0.1	0.1	0.04	0.01	0.08	0.03		
NifA	0.03	0.15	0.0	0.08	0.12	0.02	0.0	0.0	0.07	0.15	0.07	0.14		
NikR	0.0	0.03	0.03	0.05	0.01	0.0	0.0	0.0	0.01	0.01	0.06	0.0		
NmlR	0.01	0.02	0.0	0.0	0.02	0.01	0.05	0.07	0.02	0.0	0.01	0.05		
NnrR	0.08	0.22	0.07	0.05	0.18	0.02	0.01	0.0	0.05	0.15	0.03	0.22		
NorR	0.0	0.03	0.05	0.0	0.2	0.03	0.01	0.03	0.03	0.03	0.32	0.02		
NrdR	0.01	0.0	0.12	0.0	0.11	0.02	0.06	0.11	0.04	0.02	0.09	0.07		
NrtR	0.16	0.03	0.06	0.05	0.19	0.12	0.01	0.02	0.09	0.22	0.0	0.23		
NsrR	0.3	0.1	0.08	0.06	0.19	0.19	0.0	0.0	0.11	0.32	0.0	0.24		
NtrC	0.17	0.3	0.06	0.09	0.11	0.06	0.04	0.03	0.06	0.23	0.01	0.12		
PaaR	0.01	0.01	0.18	0.02	0.07	0.02	0.03	0.06	0.06	0.08	0.0	0.08		
PdhR	0.02	0.02	0.0	0.01	0.0	0.0	0.06	0.04	0.0	0.0	0.14	0.0		
PdxR	0.07	0.03	0.0	0.07	0.0	0.03	0.03	0.04	0.01	0.01	0.02	0.05		
PhnF	0.08	0.01	0.01	0.01	0.1	0.03	0.1	0.05	0.01	0.0	0.03	0.1		
PhnR	0.23	0.0	0.03	0.03	0.04	0.28	0.02	0.02	0.12	0.08	0.0	0.04		
Phr	0.15	0.02	0.06	0.03	0.15	0.1	0.01	0.01	0.09	0.22	0.0	0.23		
PhrR	0.03	0.0	0.03	0.02	0.1	0.0	0.01	0.02	0.01	0.07	0.01	0.17		
PhsR	0.05	0.02	0.02	0.0	0.0	0.03	0.01	0.0	0.0	0.0	0.05	0.01		
PrpR	0.02	0.03	0.06	0.01	0.0	0.15	0.06	0.12	0.05	0.08	0.0	0.01		
PsrA	0.0	0.17	0.05	0.02	0.0	0.01	0.2	0.17	0.05	0.01	0.21	0.01		
PurR	0.21	0.44	0.04	0.15	0.16	0.18	0.04	0.0	0.24	0.3	0.01	0.11		
QorR	0.28	0.19	0.13	0.02	0.23	0.07	0.0	0.0	0.12	0.19	0.02	0.0		
RbkR	0.23	0.14	0.02	0.06	0.14	0.13	0.0	0.0	0.09	0.29	0.0	0.12		
RbsR	0.09	0.2	0.04	0.04	0.19	0.03	0.01	0.0	0.09	0.16	0.12	0.06		
Rex	0.0	0.02	0.09	0.11	0.0	0.01	0.15	0.03	0.02	0.1	0.04	0.03		
RutR	0.01	0.12	0.0	0.01	0.01	0.03	0.0	0.01	0.0	0.0	0.04	0.08		
SahR_SamR	0.31	0.22	0.08	0.11	0.23	0.19	0.01	0.0	0.15	0.41	0.01	0.19		
SdaR	0.11	0.28	0.0	0.09	0.02	0.09	0.0	0.02	0.01	0.05	0.01	0.04		
SiaR	0.3	0.37	0.04	0.16	0.19	0.14	0.08	0.01	0.19	0.41	0.0	0.04		
SoxR	0.11	0.12	0.06	0.02	0.03	0.02	0.0	0.01	0.0	0.01	0.08	0.09		
ThiR	0.14	0.02	0.08	0.05	0.19	0.14	0.01	0.01	0.13	0.28	0.01	0.17		
TrpR	0.08	0.16	0.05	0.0	0.04	0.0	0.04	0.03	0.05	0.0	0.0	0.1		
TtrR	0.1	0.0	0.04	0.05	0.06	0.2	0.04	0.02	0.04	0.03	0.08	0.14		
TyrR	0.03	0.01	0.12	0.04	0.06	0.0	0.17	0.03	0.01	0.01	0.02	0.03		
VanR	0.07	0.28	0.02	0.0	0.14	0.02	0.01	0.01	0.06	0.08	0.0	0.01		
XylR	0.11	0.01	0.01	0.02	0.06	0.06	0.05	0.04	0.09	0.24	0.0	0.24		
ZntR	0.13	0.0	0.01	0.0	0.04	0.03	0.29	0.34	0.01	0.0	0.13	0.28		
Zur	0.17	0.14	0.03	0.09	0.15	0.05	0.02	0.0	0.08	0.33	0.0	0.15		
